                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 5.0169,                 4.7975,                 6.1317,                 5.2613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0937,                 0.0007,                 0.0007
                      1,                 4.9098,                   3.41,                 6.6024,                 5.2323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.086485,              0.0014851,              0.0014851
                      2,                 5.3959,                 3.1687,                 7.0444,                 5.2411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079254,              0.0022545,              0.0022545
                      3,                   4.85,                 2.5808,                 5.9162,                 5.2644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072008,              0.0030079,              0.0030079
                      4,                 5.2629,                 2.8695,                 6.1089,                 5.2512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064746,              0.0037456,              0.0037456
                      5,                 5.1168,                 2.1454,                 6.5962,                  5.252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057467,              0.0044673,              0.0044673
                      6,                 4.8255,                  3.406,                 5.8449,                 5.2307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.050173,              0.0051733,              0.0051733
                      7,                 5.3652,                 7.9309,                 6.8379,                  5.231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042863,              0.0058634,              0.0058634
