                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                  4.755,                 8.4112,                 6.1438,                 5.4486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0865,                 0.0015,                 0.0015
                      1,                 4.7774,                 8.7777,                 6.1369,                 5.4546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072069,              0.0030693,              0.0030693
                      2,                 4.7026,                   8.41,                 6.1216,                 5.4571,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057607,              0.0046069,              0.0046069
                      3,                 4.9306,                 6.6162,                 6.1217,                 5.5186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043113,              0.0061129,              0.0061129
