               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2636,              4.8009,              1.2567,             0.17508,                0.15,             0.14533,             0.10318,              0.8588,              4.7788,              0.9513,              0.0973,              0.0003,              0.0003
                   1,              1.1553,              4.8079,              1.2085,             0.25293,                0.15,             0.16611,             0.11092,             0.82825,              4.3472,             0.93916,            0.093693,          0.00069307,          0.00069307
                   2,              1.1337,              4.1607,              1.2443,             0.47793,             0.39583,             0.35675,             0.27572,             0.68934,              2.5577,             0.91971,            0.090078,           0.0010782,           0.0010782
