               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0465,              4.4882,              1.1777,            0.023505,             0.43672,             0.11471,            0.082468,             0.75539,              4.3597,              1.0202,              0.0937,              0.0007,              0.0007
                   1,             0.89037,              4.0235,              1.1159,             0.55191,             0.28101,             0.27519,             0.22203,             0.69031,              2.7669,             0.98971,            0.086485,           0.0014851,           0.0014851
                   2,             0.78636,              2.7726,              1.0792,             0.55578,             0.39543,               0.408,             0.33717,             0.58862,              2.8403,             0.97073,            0.079254,           0.0022545,           0.0022545
                   3,             0.70826,              2.0705,              1.0628,             0.74682,             0.48572,             0.52339,             0.42689,             0.56872,              2.1427,             0.96065,            0.072008,           0.0030079,           0.0030079
                   4,             0.64226,              1.4383,             0.97219,             0.70275,             0.62239,             0.65743,             0.55651,             0.57971,              1.3567,             0.95711,            0.064746,           0.0037456,           0.0037456
                   5,             0.63482,              1.2241,             0.97795,             0.62569,             0.70217,             0.75068,             0.63018,              0.6298,              1.1146,             0.97744,            0.057467,           0.0044673,           0.0044673
                   6,             0.68362,              1.1382,             0.97967,             0.90584,             0.57352,             0.78247,             0.65004,             0.66242,              1.0834,             0.97326,            0.050173,           0.0051733,           0.0051733
                   7,             0.61942,              1.0463,             0.95192,             0.83511,             0.68602,             0.75621,             0.62204,             0.62521,              1.0208,             0.96555,            0.042863,           0.0058634,           0.0058634
                   8,              0.6936,              1.0024,             0.96356,             0.79076,             0.72836,             0.82288,             0.64426,             0.78616,             0.98109,             0.96959,            0.035538,           0.0065377,           0.0065377
                   9,             0.72154,             0.94623,             0.96094,             0.85627,             0.64053,             0.87211,             0.70482,             0.66893,             0.91403,             0.96659,            0.028196,           0.0071961,           0.0071961
                  10,             0.68475,              0.9651,             0.95553,             0.79654,             0.82446,             0.88098,             0.72084,             0.69486,             0.84084,             0.96113,            0.020839,           0.0078387,           0.0078387
                  11,             0.84172,             0.86963,             0.95408,             0.82916,             0.81236,             0.86013,             0.65009,             0.97847,             0.93263,              1.0154,            0.013465,           0.0084655,           0.0084655
                  12,              0.7507,             0.83751,             0.95494,             0.85979,             0.71848,             0.85288,             0.71184,             0.62681,             0.79004,             0.95982,            0.008812,            0.008812,            0.008812
                  13,             0.73359,             0.88886,             0.94552,             0.85956,             0.79125,             0.88434,             0.70083,             0.88474,              1.0723,             0.99082,            0.008812,            0.008812,            0.008812
                  14,             0.67628,             0.88464,              0.9363,             0.83843,             0.82607,             0.89076,             0.74743,             0.59925,             0.79871,              0.9546,            0.008713,            0.008713,            0.008713
                  15,             0.73623,             0.87329,             0.94554,             0.82678,             0.86403,             0.89169,             0.69688,             0.86927,             0.72929,             0.98833,            0.008614,            0.008614,            0.008614
                  16,              0.7284,             0.83109,             0.93235,               0.875,              0.8903,             0.88156,             0.74761,              0.6481,             0.74668,             0.93513,            0.008515,            0.008515,            0.008515
                  17,             0.75288,             0.85278,             0.94672,             0.87076,             0.88684,             0.90942,             0.72852,             0.79627,                 0.7,              0.9673,            0.008416,            0.008416,            0.008416
                  18,             0.79101,             0.93856,             0.97474,             0.85816,             0.88367,             0.90158,             0.76317,             0.58326,             0.68889,             0.93183,            0.008317,            0.008317,            0.008317
                  19,             0.72253,             0.78566,             0.95301,              0.8092,             0.85801,             0.88544,              0.7275,             0.73249,             0.71212,             0.94953,            0.008218,            0.008218,            0.008218
                  20,              0.7798,             0.74828,             0.95057,             0.76812,             0.86601,             0.87022,             0.72829,             0.66509,              0.6642,             0.94141,            0.008119,            0.008119,            0.008119
                  21,             0.75838,             0.77945,             0.95425,             0.80487,             0.83389,             0.87122,             0.71093,             0.67815,             0.67308,             0.95039,             0.00802,             0.00802,             0.00802
                  22,             0.70471,             0.75113,             0.93637,             0.76629,             0.85492,              0.8714,             0.73402,             0.64198,             0.67297,             0.96065,            0.007921,            0.007921,            0.007921
                  23,             0.68652,              0.7662,              0.9381,             0.90675,             0.86924,             0.91007,             0.73699,             0.73155,             0.62822,             0.95906,            0.007822,            0.007822,            0.007822
                  24,             0.66307,             0.68778,             0.93869,             0.84777,             0.86435,             0.90786,             0.75421,              0.6473,             0.67725,             0.96057,            0.007723,            0.007723,            0.007723
                  25,             0.67026,             0.72351,             0.95209,             0.80257,             0.84131,             0.89485,             0.73566,             0.65558,             0.63219,             0.95859,            0.007624,            0.007624,            0.007624
                  26,              0.6792,             0.71225,              0.9431,             0.90484,             0.83039,             0.88231,             0.74954,             0.59737,             0.61549,             0.95425,            0.007525,            0.007525,            0.007525
                  27,             0.66515,             0.67846,             0.92735,             0.86844,             0.82867,             0.88371,             0.74175,             0.67725,             0.60108,             0.95445,            0.007426,            0.007426,            0.007426
                  28,             0.65805,             0.71421,             0.94875,             0.90291,               0.815,             0.85743,             0.74123,             0.59564,             0.61314,             0.93567,            0.007327,            0.007327,            0.007327
                  29,             0.66537,             0.66005,             0.93259,             0.86378,             0.82084,             0.87229,             0.72293,             0.71091,             0.63871,             0.94556,            0.007228,            0.007228,            0.007228
                  30,             0.65774,             0.68485,             0.93765,             0.88045,             0.82738,             0.87398,             0.75009,             0.60613,             0.60275,              0.9399,            0.007129,            0.007129,            0.007129
                  31,             0.65617,             0.64346,             0.93743,             0.85589,             0.88763,             0.90748,             0.75423,             0.69297,             0.60524,             0.94452,             0.00703,             0.00703,             0.00703
                  32,             0.67613,             0.65458,             0.93585,             0.88588,             0.86366,             0.90594,             0.77983,             0.63104,             0.58007,             0.94068,            0.006931,            0.006931,            0.006931
                  33,             0.66413,              0.6681,             0.95463,             0.87795,             0.86528,             0.91809,             0.78523,             0.63633,              0.5855,             0.95102,            0.006832,            0.006832,            0.006832
                  34,             0.63166,             0.60784,             0.93022,             0.91282,             0.83575,             0.90403,             0.76943,             0.65146,             0.59243,             0.94035,            0.006733,            0.006733,            0.006733
                  35,             0.65181,             0.63211,             0.92726,             0.89244,             0.87387,             0.90748,             0.77543,             0.62347,             0.55037,             0.92959,            0.006634,            0.006634,            0.006634
                  36,             0.62744,             0.59679,              0.9201,             0.90134,             0.85516,             0.91178,             0.76803,             0.60097,             0.56643,             0.93533,            0.006535,            0.006535,            0.006535
                  37,             0.65127,             0.65973,              0.9332,             0.88015,             0.83633,             0.86738,             0.72592,             0.64441,             0.58933,             0.95907,            0.006436,            0.006436,            0.006436
                  38,             0.66096,             0.62439,             0.95769,             0.88094,             0.80759,             0.87178,             0.72391,             0.64012,             0.59254,             0.96384,            0.006337,            0.006337,            0.006337
                  39,              0.5948,             0.58234,             0.91095,             0.88065,             0.85245,             0.90861,             0.76999,             0.61085,             0.57601,             0.94896,            0.006238,            0.006238,            0.006238
                  40,             0.64761,             0.62387,             0.91684,             0.91202,              0.8489,              0.9177,             0.78063,             0.61953,             0.54576,             0.95494,            0.006139,            0.006139,            0.006139
                  41,              0.6735,             0.64635,              0.9411,              0.9242,             0.85206,             0.92202,             0.77017,               0.644,              0.5375,             0.97141,             0.00604,             0.00604,             0.00604
                  42,             0.61327,             0.59597,             0.94841,             0.91971,             0.84319,              0.9099,             0.75515,             0.62657,             0.52578,             0.96887,            0.005941,            0.005941,            0.005941
                  43,             0.61321,              0.5956,             0.91133,             0.87675,              0.8714,             0.90986,             0.75792,             0.62893,             0.54742,             0.97036,            0.005842,            0.005842,            0.005842
                  44,             0.61144,             0.61326,             0.95365,             0.86371,             0.87425,             0.89764,             0.75371,              0.5688,             0.54076,             0.95655,            0.005743,            0.005743,            0.005743
                  45,             0.60491,             0.60507,             0.94223,              0.8189,             0.88759,             0.89725,             0.74974,             0.61567,             0.56839,             0.96449,            0.005644,            0.005644,            0.005644
                  46,             0.61702,             0.55949,             0.91787,             0.87141,             0.82171,             0.89785,              0.7593,             0.61346,             0.57839,             0.95151,            0.005545,            0.005545,            0.005545
