                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.7636,                 7.7625,                 6.1414,                 5.4421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0865,                 0.0015,                 0.0015
                      1,                 4.5544,                 8.8053,                 6.1247,                 5.4242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072069,              0.0030693,              0.0030693
                      2,                 4.6621,                  7.872,                 6.1517,                 5.4112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057607,              0.0046069,              0.0046069
                      3,                 4.7501,                 6.7376,                 6.1241,                 5.4844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043113,              0.0061129,              0.0061129
                      4,                 4.8575,                 7.0866,                 6.3263,                 5.5124,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028587,              0.0075872,              0.0075872
                      5,                 4.5383,                  6.753,                 6.1468,                 5.4539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01403,              0.0090297,              0.0090297
                      6,                 4.5407,                 6.4582,                 6.1097,                 5.5152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      7,                  4.746,                 6.1176,                 6.1031,                  5.439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
