                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.8641,                 8.5516,                 6.1661,                 5.4553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0865,                 0.0015,                 0.0015
                      1,                  4.925,                 6.2483,                 6.1455,                 5.4172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072069,              0.0030693,              0.0030693
                      2,                 4.7143,                 6.9508,                  6.149,                 5.4779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057607,              0.0046069,              0.0046069
                      3,                 4.8309,                 6.3637,                 6.1282,                 5.4469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043113,              0.0061129,              0.0061129
                      4,                  4.801,                 6.6593,                 6.1279,                 5.4761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028587,              0.0075872,              0.0075872
                      5,                 4.8762,                 5.5979,                 6.1099,                 5.4552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01403,              0.0090297,              0.0090297
                      6,                 4.8728,                 6.4429,                 6.1101,                 5.4157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      7,                 4.8861,                 4.9737,                 6.1445,                 5.4465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
