               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.4029,              3.3408,              1.2652,             0.76258,             0.62995,             0.70785,             0.52573,             0.89198,              1.6095,              1.0319,              0.0784,              0.0024,              0.0024
                   1,             0.99582,               1.014,              1.0393,             0.83403,              0.8241,             0.84714,             0.65164,             0.88639,              0.7689,              0.9956,            0.055851,           0.0048515,           0.0048515
                   2,              1.0912,             0.80754,              1.0138,             0.87069,             0.92943,             0.93229,             0.71612,             0.83433,             0.57027,             0.97298,            0.033253,           0.0072535,           0.0072535
                   3,              1.0718,             0.79431,              1.0151,             0.88476,             0.93576,             0.94343,             0.72933,             0.80311,             0.51221,             0.97025,            0.010606,            0.009606,            0.009606
                   4,              1.1026,             0.74725,              1.0238,              0.9214,             0.92439,             0.94335,             0.72343,             0.86371,             0.48974,             0.97656,            0.009604,            0.009604,            0.009604
                   5,              1.0376,             0.68215,              1.0062,             0.94561,             0.95106,             0.96014,             0.74017,             0.87053,             0.49343,              1.0022,            0.009604,            0.009604,            0.009604
