               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0465,              4.4882,              1.1777,            0.023505,             0.43672,             0.11471,            0.082468,             0.75539,              4.3597,              1.0202,              0.0937,              0.0007,              0.0007
                   1,             0.89067,               4.025,              1.1156,             0.58108,             0.28693,             0.27679,               0.226,              0.6846,              2.8632,             0.98384,            0.086495,            0.001495,            0.001495
                   2,             0.78292,              2.8021,              1.0773,             0.50163,             0.42624,             0.40167,             0.32011,             0.61062,              2.9199,             0.99357,            0.079285,           0.0022848,           0.0022848
                   3,              0.7061,              2.0876,              1.0621,             0.63202,             0.50386,             0.54032,             0.45213,             0.58594,              2.0699,             0.97602,            0.072069,           0.0030693,           0.0030693
                   4,              0.6423,              1.4571,             0.97036,             0.70375,             0.65562,             0.67788,             0.57543,             0.57164,              1.3629,             0.95033,            0.064849,           0.0038485,           0.0038485
                   5,             0.62949,              1.2203,             0.97161,              0.6907,             0.72357,             0.77955,               0.659,             0.59757,              1.1084,             0.95113,            0.057622,           0.0046225,           0.0046225
                   6,             0.65779,              1.1378,             0.97919,             0.92221,             0.58501,             0.75846,             0.63739,              0.6071,              1.0884,             0.95978,            0.050391,           0.0053911,           0.0053911
                   7,             0.62024,               1.063,             0.95356,             0.86186,             0.68943,              0.7708,              0.6333,             0.68203,              1.0761,              0.9773,            0.043154,           0.0061545,           0.0061545
                   8,              0.7108,             0.99978,              0.9671,             0.84263,             0.72912,             0.81196,             0.65437,             0.79882,             0.92753,             0.97319,            0.035913,           0.0069126,           0.0069126
                   9,              0.7296,             0.95324,             0.96924,             0.79549,             0.72917,             0.84149,             0.68904,             0.60282,             0.95528,             0.95242,            0.028665,           0.0076654,           0.0076654
                  10,              0.7038,             0.99155,               0.958,             0.86838,             0.72002,             0.86126,             0.71383,              0.7535,             0.86391,             0.96867,            0.021413,           0.0084129,           0.0084129
                  11,             0.82764,             0.90524,             0.94272,             0.88494,             0.72581,             0.83924,             0.67195,             0.87224,              1.0108,             0.98794,            0.014155,           0.0091552,           0.0091552
                  12,             0.72815,              0.8874,             0.94705,             0.87899,             0.74094,             0.88413,             0.74693,             0.65218,             0.72916,             0.97694,            0.009604,            0.009604,            0.009604
                  13,             0.79492,             0.87185,             0.95545,             0.77598,             0.79686,             0.87742,             0.67912,             0.88472,             0.97037,             0.99492,            0.009604,            0.009604,            0.009604
                  14,             0.77925,             0.90568,             0.95139,             0.78133,             0.90431,             0.88943,             0.74405,             0.73733,             0.86399,             0.97895,            0.009571,            0.009571,            0.009571
                  15,             0.73444,             0.98135,             0.94635,             0.70432,             0.81688,              0.8295,             0.66754,             0.75202,             0.93528,             0.99041,            0.009538,            0.009538,            0.009538
                  16,             0.72032,             0.85845,             0.93761,             0.77959,             0.84657,             0.85273,             0.71161,             0.71695,             0.72472,             0.96426,            0.009505,            0.009505,            0.009505
                  17,             0.81512,             0.82228,             0.95943,             0.79725,             0.84987,              0.8683,             0.67773,             0.91707,             0.74666,               1.005,            0.009472,            0.009472,            0.009472
                  18,             0.86115,             0.94192,             0.98147,             0.83802,             0.78809,             0.85033,             0.70573,             0.67205,             0.70612,             0.96393,            0.009439,            0.009439,            0.009439
                  19,              0.7409,             0.80847,             0.95444,             0.82866,             0.81823,             0.84499,             0.67507,             0.73191,              0.8149,             0.95004,            0.009406,            0.009406,            0.009406
                  20,                0.78,             0.76289,              0.9502,              0.7906,              0.8721,             0.85319,              0.7094,             0.69072,             0.74646,             0.93695,            0.009373,            0.009373,            0.009373
                  21,             0.80569,             0.79487,             0.96371,             0.84736,             0.81522,             0.85385,             0.69074,              0.7742,             0.72187,             0.96445,             0.00934,             0.00934,             0.00934
                  22,             0.75007,              0.7754,             0.94849,             0.83244,             0.78612,             0.87183,             0.71703,             0.65682,             0.76489,             0.94579,            0.009307,            0.009307,            0.009307
                  23,             0.73487,             0.83539,             0.94852,             0.80981,             0.80226,             0.89301,             0.71467,             0.77055,             0.71965,              0.9547,            0.009274,            0.009274,            0.009274
                  24,             0.67277,             0.80352,             0.94301,             0.82953,             0.80933,             0.87654,             0.72499,             0.61338,             0.81851,             0.93209,            0.009241,            0.009241,            0.009241
                  25,             0.66933,             0.81558,             0.95618,             0.77286,             0.85977,             0.88997,             0.73073,             0.62285,             0.65088,              0.9596,            0.009208,            0.009208,            0.009208
                  26,             0.71441,             0.75903,             0.95222,             0.74266,             0.86305,             0.87119,             0.71087,              0.6479,             0.67449,             0.93267,            0.009175,            0.009175,            0.009175
                  27,             0.76896,             0.71237,             0.95016,             0.90795,             0.75661,             0.86917,             0.68247,             0.82777,             0.71526,             0.97815,            0.009142,            0.009142,            0.009142
                  28,             0.73157,             0.72478,             0.95589,              0.8857,             0.84639,             0.87499,             0.69948,             0.69162,             0.67102,             0.95647,            0.009109,            0.009109,            0.009109
                  29,             0.78003,             0.69359,             0.95234,             0.86654,             0.84338,             0.88788,             0.71198,             0.80889,             0.68966,             0.96376,            0.009076,            0.009076,            0.009076
                  30,             0.73781,             0.73114,             0.95356,             0.87385,             0.83363,             0.87595,              0.7038,             0.68073,             0.62511,             0.94168,            0.009043,            0.009043,            0.009043
                  31,             0.73629,             0.68133,             0.96128,             0.92309,             0.77648,             0.85662,              0.7002,             0.73155,             0.61032,             0.96237,             0.00901,             0.00901,             0.00901
                  32,             0.78672,             0.69345,             0.95811,             0.80003,             0.87357,              0.8765,             0.70607,             0.80438,             0.64702,             0.96562,            0.008977,            0.008977,            0.008977
                  33,             0.77614,             0.71906,                0.98,             0.78871,             0.91762,             0.89274,             0.73503,             0.66524,             0.57241,             0.94189,            0.008944,            0.008944,            0.008944
                  34,             0.72466,             0.63325,             0.94402,              0.8907,             0.79786,             0.84935,             0.69659,             0.73635,             0.64947,             0.95472,            0.008911,            0.008911,            0.008911
                  35,             0.74626,             0.68196,             0.94834,             0.89089,             0.81952,             0.87312,             0.72896,             0.67227,             0.62842,             0.94282,            0.008878,            0.008878,            0.008878
                  36,             0.68821,             0.64483,             0.93659,             0.89285,             0.84802,             0.90264,             0.74314,             0.66051,             0.62294,             0.94029,            0.008845,            0.008845,            0.008845
                  37,               0.696,             0.69685,             0.94769,             0.89462,             0.80765,             0.88203,             0.72615,             0.61509,             0.62422,             0.94648,            0.008812,            0.008812,            0.008812
                  38,             0.75369,             0.67499,             0.96944,             0.89973,             0.77681,             0.87101,             0.71233,             0.74668,              0.6645,             0.97458,            0.008779,            0.008779,            0.008779
                  39,             0.70027,             0.65875,             0.92865,             0.90439,             0.77272,             0.88869,             0.72254,             0.73518,             0.68673,              0.9918,            0.008746,            0.008746,            0.008746
                  40,              0.7451,             0.68006,             0.94623,             0.88903,             0.81229,             0.86134,             0.71346,             0.71055,             0.61088,              1.0055,            0.008713,            0.008713,            0.008713
                  41,             0.75882,             0.71115,             0.96537,             0.89565,             0.78942,             0.87554,             0.72568,             0.72489,              0.6226,              1.0033,             0.00868,             0.00868,             0.00868
                  42,             0.68687,             0.63359,             0.96598,             0.90329,             0.79002,             0.86593,             0.71125,             0.68578,              0.6067,              1.0062,            0.008647,            0.008647,            0.008647
                  43,              0.7025,             0.61858,             0.93601,             0.82364,             0.83239,             0.88307,             0.74652,             0.78024,             0.65354,              1.0084,            0.008614,            0.008614,            0.008614
                  44,              0.6896,             0.66628,             0.97422,             0.77267,             0.80049,             0.86341,              0.7257,             0.63444,             0.59293,             0.98618,            0.008581,            0.008581,            0.008581
                  45,             0.67427,              0.6277,             0.96317,             0.78751,             0.83966,             0.86749,             0.73002,             0.70701,             0.60575,             0.98939,            0.008548,            0.008548,            0.008548
                  46,             0.71734,             0.60456,              0.9431,             0.78302,             0.85113,             0.87099,             0.73072,                0.74,             0.59663,             0.99671,            0.008515,            0.008515,            0.008515
                  47,             0.71185,               0.651,             0.96855,             0.84168,              0.8561,              0.8855,             0.74957,             0.68831,             0.61962,              0.9684,            0.008482,            0.008482,            0.008482
                  48,             0.67462,             0.60323,             0.94786,             0.84122,             0.85336,             0.89138,             0.72814,             0.67073,             0.60672,              0.9572,            0.008449,            0.008449,            0.008449
                  49,             0.70946,              0.6154,             0.93638,             0.87847,             0.80119,             0.90726,             0.74871,              0.7209,             0.60271,              0.9595,            0.008416,            0.008416,            0.008416
                  50,             0.69054,             0.61176,             0.94348,             0.87302,             0.79519,             0.91519,             0.73868,             0.68539,             0.60279,             0.96245,            0.008383,            0.008383,            0.008383
                  51,             0.68437,              0.6077,              0.9533,             0.87179,             0.79644,             0.91028,             0.74774,              0.6616,             0.60643,             0.96749,             0.00835,             0.00835,             0.00835
                  52,             0.68567,              0.5807,             0.93637,             0.86785,             0.83541,             0.91228,             0.74635,             0.69987,             0.60946,             0.97736,            0.008317,            0.008317,            0.008317
                  53,             0.72292,             0.67413,             0.97449,             0.88899,              0.8037,             0.93666,             0.77415,             0.75671,              0.5884,               1.006,            0.008284,            0.008284,            0.008284
                  54,             0.69192,             0.59736,              0.9449,              0.8816,             0.82093,             0.94133,             0.77064,             0.67281,             0.56126,             0.99448,            0.008251,            0.008251,            0.008251
                  55,             0.65801,             0.58919,             0.94695,             0.91477,             0.85106,             0.92418,             0.76868,             0.66093,             0.56779,             0.94527,            0.008218,            0.008218,            0.008218
                  56,               0.756,             0.61306,             0.96166,             0.91769,             0.84425,             0.90631,             0.74948,             0.67913,             0.55697,              0.9518,            0.008185,            0.008185,            0.008185
                  57,             0.68223,             0.56957,             0.93783,             0.91867,             0.82145,             0.90306,             0.73107,             0.69134,             0.61837,             0.94211,            0.008152,            0.008152,            0.008152
                  58,             0.63908,              0.5696,              0.9443,             0.93503,             0.83043,             0.93327,             0.79273,             0.59361,             0.52387,             0.94007,            0.008119,            0.008119,            0.008119
                  59,             0.68113,             0.60512,             0.95592,             0.92625,             0.80757,             0.91639,             0.76522,             0.70154,             0.54006,             0.96862,            0.008086,            0.008086,            0.008086
                  60,             0.63136,             0.55691,             0.92212,             0.94036,             0.81063,             0.92043,             0.77178,             0.61707,             0.54876,              0.9514,            0.008053,            0.008053,            0.008053
                  61,             0.63062,             0.56524,             0.94045,             0.92095,             0.80148,             0.89435,             0.76637,             0.59939,             0.56123,             0.94591,             0.00802,             0.00802,             0.00802
                  62,             0.62183,             0.58454,              0.9349,             0.85893,             0.83955,             0.88426,             0.74648,             0.61285,             0.54556,             0.95104,            0.007987,            0.007987,            0.007987
                  63,             0.64481,              0.5689,             0.93766,             0.84799,              0.8694,             0.88365,             0.75396,             0.65485,             0.54556,             0.95441,            0.007954,            0.007954,            0.007954
                  64,             0.61491,             0.57385,             0.93618,             0.88053,             0.82596,             0.86083,             0.73303,             0.58607,             0.53686,             0.98066,            0.007921,            0.007921,            0.007921
                  65,             0.61383,             0.55976,              0.9461,             0.82612,              0.8886,             0.89975,             0.75278,             0.60813,             0.56213,             0.97074,            0.007888,            0.007888,            0.007888
                  66,             0.69369,             0.58504,             0.95333,             0.91712,             0.84338,             0.89147,             0.74053,             0.66846,             0.56334,             0.97666,            0.007855,            0.007855,            0.007855
                  67,             0.64772,             0.53645,             0.94946,             0.93297,             0.84129,             0.91256,             0.75796,             0.62286,             0.53898,             0.97281,            0.007822,            0.007822,            0.007822
                  68,              0.6259,             0.55749,             0.94121,             0.86006,              0.7801,             0.87091,             0.71666,             0.59563,             0.59966,             0.97272,            0.007789,            0.007789,            0.007789
                  69,             0.62418,             0.56489,             0.93854,             0.82042,             0.91572,              0.9058,             0.75216,              0.6133,             0.54564,             0.97143,            0.007756,            0.007756,            0.007756
                  70,             0.64002,             0.54688,             0.91623,             0.92866,              0.8638,             0.91797,             0.75652,             0.61126,             0.51882,             0.96608,            0.007723,            0.007723,            0.007723
                  71,             0.61817,             0.52837,             0.91364,             0.85751,             0.89941,             0.92271,             0.75757,               0.648,             0.52214,             0.97573,             0.00769,             0.00769,             0.00769
