               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0465,              4.4882,              1.1777,            0.023505,             0.43672,             0.11471,            0.082468,             0.75539,              4.3597,              1.0202,              0.0937,              0.0007,              0.0007
                   1,             0.89067,               4.025,              1.1156,             0.58108,             0.28693,             0.27679,               0.226,              0.6846,              2.8632,             0.98384,            0.086495,            0.001495,            0.001495
                   2,             0.78292,              2.8021,              1.0773,             0.50163,             0.42624,             0.40167,             0.32011,             0.61062,              2.9199,             0.99357,            0.079285,           0.0022848,           0.0022848
                   3,              0.7061,              2.0876,              1.0621,             0.63202,             0.50386,             0.54032,             0.45213,             0.58594,              2.0699,             0.97602,            0.072069,           0.0030693,           0.0030693
