                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.7851,                 7.8236,                 6.1132,                 5.4231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0865,                 0.0015,                 0.0015
                      1,                  4.534,                 6.9631,                 6.1039,                 5.4496,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.071793,              0.0027931,              0.0027931
                      2,                  4.598,                 7.5687,                 6.1237,                 5.4768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.056769,              0.0037694,              0.0037694
                      3,                 4.8247,                 6.7432,                 6.1349,                 5.4244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041429,              0.0044289,              0.0044289
                      4,                 4.8164,                 6.2915,                 6.1356,                 5.4785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025772,              0.0047716,              0.0047716
                      5,                 4.4734,                 6.7567,                 6.1229,                 5.3817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097975,              0.0047975,              0.0047975
                      6,                 4.9558,                 8.2545,                  6.173,                  5.502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      7,                 4.6724,                 6.8422,                 6.1178,                 5.4504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                      8,                 4.7789,                 6.6947,                  6.082,                 5.4315,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                      9,                 4.7808,                 6.9942,                 6.0745,                 5.4461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     10,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0
