               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2636,              4.8009,              1.2567,             0.17508,                0.15,             0.14533,             0.10318,              0.8588,              4.7788,              0.9513,              0.0973,              0.0003,              0.0003
                   1,              1.1553,              4.8075,              1.2087,             0.25835,                0.15,             0.16822,            0.092221,             0.82853,              4.3539,             0.93976,            0.093698,          0.00069769,          0.00069769
                   2,              1.1281,              4.1532,              1.2397,             0.47333,               0.375,             0.36903,              0.2847,             0.70449,              2.5284,             0.93782,            0.090093,           0.0010927,           0.0010927
