Class,Confidence,Bounding Box,Center Simulation XYZ,Corner 1 Simulation XYZ,Corner 2 Simulation XYZ,Corner 3 Simulation XYZ,Corner 4 Simulation XYZ
blood_tube,0.3497220575809479,"[736.0, 518.0, 751.0, 535.0]",[    0.40281     0.29271    0.092059],[    0.41078     0.27614    0.078947],[     0.3899     0.27426    0.076275],[    0.41083     0.29924    0.075126],[     0.3914     0.30188    0.083802]
5ML_sorting_tube_rack,0.32740670442581177,"[332.0, 0.0, 554.0, 174.0]",[    0.94155    -0.55687     0.08249],,[    0.93623     -2.0278    -0.81105],[     1.5204       -1.13    -0.77253],[    0.73146    -0.43673   -0.012192]
10ML_centrifuge_tube,0.3189811110496521,"[583.0, 266.0, 599.0, 282.0]",[    0.63776    -0.13638    0.077069],[    0.65754    -0.19313    0.024374],[    0.63024    -0.19284    0.026149],[    0.64966    -0.12076    0.075741],[    0.62339    -0.11684    0.082336]
10ML_sorting_tube_rack,0.27941757440567017,"[303.0, 247.0, 402.0, 407.0]",[    0.99843   -0.013388    0.084587],[     1.5327    -0.83482     -0.7551],[    0.98648    -0.25491   -0.017051],[     1.0481     0.12042    0.067766],[    0.93063    0.065558   -0.022342]
dispensing_tube_rack,0.26385605335235596,"[702.0, 499.0, 864.0, 619.0]",[    0.33711     0.30362  0.00054541],[    0.45124     0.20275   -0.029079],[    0.26258     0.29471     0.19958],[    0.45161      0.3893   -0.014728],[    0.23214     0.38918    0.012748]
10ML_centrifuge_tube,0.824060320854187,"[754.0, 560.0, 772.0, 577.0]",[    0.37555     0.34425    0.074787],[    0.38724     0.33352    0.074588],[    0.35952     0.32323    0.048768],[    0.38761     0.35618    0.072226],[    0.36154        0.35    0.056834]
centrifuge_close,0.8191441893577576,"[837.0, 26.0, 1008.0, 186.0]",[   0.090151    -0.44591     0.17035],[  -0.094194     -2.0926    -0.93563],,[    0.20015    -0.43618   -0.020414],[   0.058793    -0.11211     0.33397]
5ML_sorting_tube_rack,0.8027426600456238,"[572.0, 267.0, 646.0, 388.0]",[    0.60269   -0.032834    0.079074],,[    0.55144    -0.23003    -0.02018],[    0.66493   0.0067841   -0.044986],[    0.54254     0.02628  -0.0035587]
refrigerator_close,0.7418831586837769,"[646.0, 3.0, 793.0, 168.0]",[    0.43589    -0.47521     0.17727],,[    0.42733     0.13224     0.78936],[    0.55952    -0.45797   -0.010904],[    0.28009    -0.48052   -0.022184]
10ML_centrifuge_tube,0.7164440155029297,"[845.0, 484.0, 864.0, 501.0]",[    0.27511     0.28733     0.20319],[    0.28435     0.27461     0.19831],[    0.26205     0.27674      0.2049],[    0.28595     0.29724     0.19716],[    0.26273     0.29723     0.19918]
5ML_sorting_tube_rack,0.5596872568130493,"[248.0, 406.0, 385.0, 565.0]",[     0.9976     0.24743    0.074926],[     1.6046    -0.37921    -0.86062],[     0.9578    0.065153   -0.021686],,[    0.90902     0.32575   -0.022486]
blood_tube,0.45555955171585083,"[831.0, 528.0, 849.0, 547.0]",[    0.30039     0.35308     0.21791],[    0.30464     0.33097     0.19052],[    0.28373     0.33249     0.19633],[     0.3078     0.35812     0.19718],[    0.28816     0.36101     0.20688]
blood_tube,0.3728750944137573,"[736.0, 519.0, 751.0, 535.0]",[    0.40286     0.29423    0.092287],[    0.41073      0.2773     0.07822],[    0.39007      0.2762    0.077425],[    0.41129      0.3011    0.079867],[    0.39162     0.30263    0.085698]
10ML_sorting_tube_rack,0.3576586842536926,"[303.0, 247.0, 402.0, 407.0]",[    0.99708   -0.011185    0.087907],[     1.5532    -0.86724    -0.79587],[    0.98705    -0.25616   -0.018617],[     1.0454     0.12374    0.073905],[    0.92784    0.070341   -0.013579]
blood_tube,0.2881295680999756,"[750.0, 299.0, 764.0, 316.0]",[    0.37175   -0.078895    0.080842],[    0.38181   -0.097484    0.076095],[    0.36046   -0.093519    0.082736],[    0.37992   -0.080324    0.053555],[    0.36049   -0.066108    0.075044]
dispensing_tube_rack,0.28263798356056213,"[702.0, 499.0, 857.0, 618.0]",[    0.34385     0.30507   0.0079911],[    0.45162     0.20558   -0.022586],[    0.27153     0.29542     0.20044],[    0.45154     0.38753   -0.015984],[    0.24105     0.38746    0.010418]
10ML_sorting_tube_rack,0.2741129696369171,"[739.0, 270.0, 805.0, 372.0]",[    0.34814    -0.05759    0.074256],[    0.38995    -0.21456 -0.00039987],[     0.2742    -0.22476  -0.0075363],[    0.39302   -0.012581  -0.0086201],[    0.28546    -0.01842   -0.011284]
5ML_sorting_tube_rack,0.25375354290008545,"[332.0, 0.0, 554.0, 173.0]",[    0.94161    -0.55844    0.083476],,[    0.93496     -2.0192    -0.80467],[       1.51     -1.1124    -0.74946],[    0.73249    -0.44393   -0.017108]
5ML_sorting_tube_rack,0.9003254771232605,"[572.0, 267.0, 646.0, 390.0]",[    0.60308   -0.035995    0.071621],,[    0.55133     -0.2257    -0.01463],[    0.66436    0.012079   -0.042407],[    0.54238    0.030998  -0.0017918]
10ML_centrifuge_tube,0.8406941294670105,"[754.0, 560.0, 772.0, 577.0]",[     0.3753     0.34356    0.072853],[     0.3869     0.33247      0.0717],[    0.35978     0.32393    0.050693],[     0.3875     0.35585    0.071253],[    0.36181     0.35067    0.058779]
centrifuge_close,0.8335756063461304,"[839.0, 25.0, 1008.0, 186.0]",[   0.087097    -0.45131     0.16778],[  -0.081664     -2.0058    -0.86467],,[    0.19255    -0.45033   -0.035272],[   0.059927    -0.10999      0.3362]
refrigerator_close,0.7503532767295837,"[646.0, 1.0, 793.0, 167.0]",[    0.43755    -0.45451     0.19738],,[    0.42751     0.13176     0.79083],[    0.55954    -0.45815  -0.0084363],[    0.28228    -0.47139   -0.010172]
10ML_centrifuge_tube,0.6633257269859314,"[845.0, 484.0, 864.0, 501.0]",[    0.27533     0.28775     0.20411],[    0.28498     0.27588     0.20106],[    0.26228     0.27717     0.20581],[    0.28595     0.29724     0.19716],[    0.26273     0.29723     0.19918]
5ML_sorting_tube_rack,0.546092689037323,"[249.0, 406.0, 385.0, 566.0]",[    0.99616     0.24857    0.074194],[     1.5796    -0.35564    -0.81676],[    0.95601    0.068024   -0.016431],,[    0.90897     0.32697   -0.023251]
blood_tube,0.4402502179145813,"[831.0, 526.0, 848.0, 547.0]",[    0.30122     0.35136     0.21664],[    0.30551     0.33041      0.1956],[    0.28504     0.33045     0.19763],[    0.30721     0.35703     0.19432],[    0.28871     0.35996     0.20401]
10ML_centrifuge_tube,0.4091624617576599,"[583.0, 266.0, 599.0, 282.0]",[    0.63661    -0.12724     0.08903],[      0.656    -0.18203    0.038644],[    0.62867    -0.17865     0.04438],[    0.64932    -0.11835    0.078949],[    0.62339    -0.11684    0.082336]
blood_tube,0.3859218955039978,"[736.0, 519.0, 751.0, 535.0]",[    0.40286     0.29423    0.092287],[    0.41101     0.27846    0.081037],[    0.39017     0.27658    0.078363],[    0.41157     0.30222    0.082712],[     0.3914     0.30188    0.083802]
10ML_sorting_tube_rack,0.2822199761867523,"[302.0, 247.0, 402.0, 410.0]",[    0.99838   -0.012081    0.083769],[     1.5667    -0.88398    -0.81705],[    0.98791    -0.25805   -0.020966],[     1.0413     0.13414    0.083855],[    0.92712     0.07532   -0.014342]
5ML_sorting_tube_rack,0.892225980758667,"[572.0, 267.0, 646.0, 389.0]",[    0.60275   -0.032637    0.076594],,[    0.55136    -0.22694   -0.016215],[    0.66572   0.0036661    -0.05364],[    0.54248    0.027632  -0.0044042]
10ML_centrifuge_tube,0.8258663415908813,"[754.0, 560.0, 772.0, 577.0]",[    0.37518     0.34322    0.071886],[    0.38724     0.33352    0.074588],[    0.35978     0.32393    0.050693],[    0.38784     0.35685    0.074171],[    0.36194       0.351    0.059752]
centrifuge_close,0.8248503804206848,"[837.0, 25.0, 1008.0, 190.0]",[   0.090936    -0.44213     0.17154],[  -0.025285     -1.7784    -0.69104],,[    0.19933    -0.43191   -0.026629],[    0.05483    -0.11455     0.32365]
refrigerator_close,0.7832003831863403,"[646.0, 2.0, 793.0, 168.0]",[    0.43777    -0.44913     0.19992],,[    0.42762     0.13331     0.79105],[    0.55942    -0.45442  -0.0072281],[    0.28179    -0.47193   -0.013375]
10ML_centrifuge_tube,0.720862627029419,"[846.0, 484.0, 864.0, 501.0]",[    0.27408     0.28771     0.20412],[    0.28351     0.27541     0.20015],[    0.26182     0.27632     0.20398],[    0.28471     0.29719     0.19717],[    0.26296     0.29764     0.20011]
5ML_sorting_tube_rack,0.6479725241661072,"[249.0, 406.0, 384.0, 558.0]",[    0.99849     0.24306    0.075311],[     1.5872    -0.36368    -0.83167],[     0.9576     0.06808   -0.016442],,[     0.9108     0.31723    -0.01714]
blood_tube,0.45050719380378723,"[831.0, 528.0, 849.0, 547.0]",[    0.30039     0.35308     0.21791],[    0.30523     0.33211     0.19335],[    0.28417     0.33326     0.19822],[     0.3078     0.35812     0.19718],[    0.28816     0.36101     0.20688]
10ML_sorting_tube_rack,0.3786204755306244,"[302.0, 247.0, 402.0, 409.0]",[    0.99703   -0.009881    0.087092],[     1.5561    -0.86714    -0.79589],[    0.98334    -0.24801  -0.0084365],[     1.0519     0.12014    0.060916],[    0.92941    0.070168   -0.020523]
blood_tube,0.3624767065048218,"[736.0, 519.0, 751.0, 535.0]",[    0.40276     0.29386    0.091344],[    0.41128     0.27962    0.083853],[    0.39017     0.27658    0.078363],[    0.41138     0.30147    0.080816],[    0.39129     0.30151    0.082854]
10ML_centrifuge_tube,0.3239535689353943,"[583.0, 266.0, 599.0, 282.0]",[    0.63738    -0.13333    0.081056],[     0.6578    -0.19497    0.021996],[    0.62963    -0.18729    0.033283],[    0.64983    -0.12196    0.074137],[    0.62352    -0.11804    0.080733]
blood_tube,0.3154642581939697,"[750.0, 299.0, 764.0, 316.0]",[    0.37175   -0.078895    0.080842],[    0.38142   -0.099852    0.072852],[    0.36046   -0.093519    0.082736],[    0.38031   -0.078019    0.056837],[    0.36072   -0.064954    0.076685]
5ML_sorting_tube_rack,0.30833807587623596,"[332.0, 0.0, 554.0, 173.0]",[    0.93743    -0.54521    0.095189],,[    0.97939     -2.3204     -1.0274],[     1.5979     -1.2795    -0.92793],[    0.73394    -0.45236   -0.025974]
5ML_sorting_tube_rack,0.864290177822113,"[572.0, 267.0, 646.0, 388.0]",[    0.60247   -0.030591    0.082387],,[    0.55116    -0.21952  -0.0067009],[    0.66447   0.0092965   -0.040667],[    0.54249    0.028301 -0.00010543]
centrifuge_close,0.8342469930648804,"[839.0, 25.0, 1009.0, 186.0]",[   0.087653    -0.44513     0.17336],[  -0.064683     -1.9284    -0.80548],,[    0.19525    -0.44052   -0.024853],[   0.055163     -0.1164     0.32952]
10ML_centrifuge_tube,0.8338935375213623,"[754.0, 560.0, 772.0, 577.0]",[    0.37518     0.34322    0.071886],[    0.38724     0.33352    0.074588],[    0.35992     0.32428    0.051656],[    0.38784     0.35685    0.074171],[    0.36194       0.351    0.059752]
refrigerator_close,0.7885231971740723,"[647.0, 3.0, 793.0, 168.0]",[    0.43755    -0.42943     0.21709],,[    0.42678     0.12876      0.7868],[    0.55763    -0.45804   -0.010891],[    0.28334    -0.46406  -0.0052995]
10ML_centrifuge_tube,0.7343769073486328,"[846.0, 484.0, 864.0, 501.0]",[     0.2743     0.28812     0.20504],[    0.28372     0.27584     0.20107],[    0.26205     0.27674      0.2049],[    0.28471     0.29719     0.19717],[    0.26296     0.29764     0.20011]
5ML_sorting_tube_rack,0.6731371283531189,"[249.0, 407.0, 385.0, 562.0]",[    0.99625     0.24619    0.075678],[     1.5701    -0.34352    -0.79971],[    0.95715     0.06746   -0.020779],,[    0.91092     0.32008    -0.02599]
blood_tube,0.48154476284980774,"[832.0, 528.0, 849.0, 547.0]",[    0.30039     0.35308     0.21791],[    0.30419     0.33245      0.1943],[     0.2846     0.33402     0.20011],[    0.30678     0.35845     0.19815],[    0.28772     0.36028     0.20497]
10ML_centrifuge_tube,0.3472871780395508,"[583.0, 266.0, 599.0, 282.0]",[    0.63722    -0.13211    0.082651],[    0.65754    -0.19313    0.024374],[    0.62976    -0.18852    0.031698],[    0.65008    -0.12377    0.071731],[    0.62352    -0.11804    0.080733]
blood_tube,0.33811405301094055,"[736.0, 518.0, 751.0, 535.0]",[    0.40291     0.29309    0.093001],[    0.41078     0.27614    0.078947],[    0.39011     0.27503    0.078152],[    0.41111     0.30036    0.077971],[     0.3914     0.30188    0.083802]
10ML_sorting_tube_rack,0.2825924754142761,"[303.0, 247.0, 401.0, 407.0]",[    0.99776   -0.012286    0.086247],[     1.5859    -0.91899    -0.86093],[    0.98597    -0.24983   -0.010798],[     1.0481     0.12042    0.067766],[    0.93111    0.067527   -0.018848]
5ML_sorting_tube_rack,0.2711356580257416,"[332.0, 0.0, 554.0, 173.0]",[    0.94087    -0.55611    0.085543],,[    0.93368     -2.0106    -0.79829],[     1.5479     -1.1845    -0.82648],[    0.73152    -0.43832   -0.011198]
5ML_sorting_tube_rack,0.8726364374160767,"[572.0, 267.0, 646.0, 389.0]",[    0.60275   -0.032637    0.076594],,[    0.55144    -0.23003    -0.02018],[    0.66469   0.0091831    -0.04413],[    0.54248    0.027632  -0.0044042]
10ML_centrifuge_tube,0.8344957828521729,"[754.0, 560.0, 772.0, 577.0]",[    0.37641     0.34664    0.081558],[    0.38724     0.33352    0.074588],[    0.36018     0.32498    0.053581],[    0.38784     0.35685    0.074171],[    0.36221     0.35167    0.061697]
centrifuge_close,0.8107895851135254,"[837.0, 26.0, 1008.0, 187.0]",[   0.092958    -0.43812     0.17732],[   -0.08036     -2.0289     -0.8868],,[    0.19857    -0.44019   -0.027366],[   0.057235    -0.11379     0.33028]
refrigerator_close,0.7700602412223816,"[646.0, 0.0, 793.0, 168.0]",[    0.43794    -0.44897     0.20218],,[    0.42781     0.13284     0.79253],[    0.55958     -0.4601    -0.01311],[    0.28179    -0.47193   -0.013375]
10ML_centrifuge_tube,0.7020730972290039,"[846.0, 484.0, 864.0, 501.0]",[    0.27453     0.28854     0.20597],[    0.28372     0.27584     0.20107],[    0.26205     0.27674      0.2049],[    0.28471     0.29719     0.19717],[    0.26273     0.29723     0.19918]
blood_tube,0.4501554071903229,"[831.0, 529.0, 849.0, 547.0]",[    0.30056     0.35447     0.21823],[    0.30519     0.33316      0.1927],[    0.28434     0.33468     0.19851],[    0.30701     0.35667     0.19337],[    0.28837     0.36138     0.20783]
5ML_sorting_tube_rack,0.4269537627696991,"[249.0, 407.0, 385.0, 562.0]",[    0.99625     0.24619    0.075678],[     1.5894    -0.36383    -0.83744],[    0.95596    0.069371   -0.017273],,[    0.90916     0.32208    -0.02019]
10ML_sorting_tube_rack,0.38852861523628235,"[302.0, 248.0, 402.0, 411.0]",[    0.99563  -0.0063813    0.089602],[     1.5694    -0.88588    -0.82408],[    0.98471    -0.24965   -0.013291],[      1.051     0.12361    0.061098],[    0.92875    0.073814   -0.020453]
blood_tube,0.34895405173301697,"[736.0, 519.0, 751.0, 535.0]",[    0.40286     0.29423    0.092287],[    0.41101     0.27846    0.081037],[    0.39017     0.27658    0.078363],[    0.41129      0.3011    0.079867],[    0.39162     0.30263    0.085698]
10ML_sorting_tube_rack,0.3241822123527527,"[253.0, 406.0, 385.0, 568.0]",[    0.99221     0.25086    0.076242],[     1.5817    -0.36926    -0.84124],[    0.95661    0.067067   -0.018183],[     1.1029     0.33349   -0.033881],[    0.91034     0.32778   -0.029632]
10ML_centrifuge_tube,0.2719176709651947,"[583.0, 266.0, 599.0, 282.0]",[    0.63791     -0.1376    0.075475],[    0.65797    -0.19621     0.02041],[    0.63092    -0.19901    0.018223],[    0.64966    -0.12076    0.075741],[    0.62366    -0.11925    0.079129]
5ML_sorting_tube_rack,0.9055969715118408,"[572.0, 267.0, 646.0, 389.0]",[    0.60253   -0.030397    0.079908],,[    0.55133     -0.2257    -0.01463],[    0.66525   0.0061738   -0.049317],[    0.54246    0.028641  -0.0026764]
10ML_centrifuge_tube,0.8366971611976624,"[754.0, 560.0, 772.0, 577.0]",[    0.37592     0.34527    0.077689],[    0.38724     0.33352    0.074588],[    0.35978     0.32393    0.050693],[     0.3875     0.35585    0.071253],[    0.36181     0.35067    0.058779]
centrifuge_close,0.8192760348320007,"[839.0, 25.0, 1008.0, 185.0]",[   0.085125    -0.45677      0.1629],[  -0.072147     -1.9624     -0.8315],,[    0.19435    -0.44562   -0.027573],[   0.057326    -0.11609     0.33172]
refrigerator_close,0.7585036158561707,"[646.0, 0.0, 793.0, 168.0]",[    0.43692    -0.46321     0.18984],,[      0.427      0.1276     0.78871],[    0.55958     -0.4601    -0.01311],[    0.28179    -0.47193   -0.013375]
5ML_sorting_tube_rack,0.7140358686447144,"[249.0, 406.0, 385.0, 561.0]",[     0.9963     0.24501     0.07642],[     1.5675    -0.34286    -0.79308],[     0.9572     0.06611   -0.019934],,[     0.9095     0.32052   -0.020391]
10ML_centrifuge_tube,0.6987355351448059,"[846.0, 484.0, 864.0, 501.0]",[    0.27408     0.28771     0.20412],[    0.28351     0.27541     0.20015],[    0.26205     0.27674      0.2049],[    0.28471     0.29719     0.19717],[    0.26273     0.29723     0.19918]
blood_tube,0.4832618534564972,"[832.0, 529.0, 849.0, 547.0]",[    0.30077     0.35484     0.21918],[    0.30336     0.33197     0.18987],[    0.28413     0.33429     0.19757],[    0.30619     0.35735     0.19528],[    0.28837     0.36138     0.20783]
10ML_centrifuge_tube,0.3291377127170563,"[583.0, 266.0, 599.0, 282.0]",[    0.63692    -0.12968    0.085841],[    0.65523    -0.17648    0.045779],[     0.6284    -0.17618    0.047551],[    0.64983    -0.12196    0.074137],[    0.62339    -0.11684    0.082336]
blood_tube,0.3234331011772156,"[736.0, 519.0, 751.0, 535.0]",[    0.40306     0.29499    0.094174],[    0.41119     0.27923    0.082914],[    0.39017     0.27658    0.078363],[    0.41138     0.30147    0.080816],[    0.39162     0.30263    0.085698]
10ML_sorting_tube_rack,0.2645125985145569,"[302.0, 247.0, 401.0, 410.0]",[    0.99857  -0.0098273    0.087081],[     1.6058     -0.9457    -0.89465],[    0.98654    -0.25108   -0.012364],[     1.0518      0.1214    0.060128],[    0.93151    0.070621   -0.023134]
5ML_sorting_tube_rack,0.25390779972076416,"[332.0, 0.0, 554.0, 173.0]",[    0.94087    -0.55611    0.085543],,[    0.95533     -2.1573    -0.90677],[     1.5537     -1.1956    -0.83833],[    0.73225    -0.44253   -0.015631]
5ML_sorting_tube_rack,0.8536356687545776,"[572.0, 267.0, 645.0, 389.0]",[    0.60397   -0.029224    0.081555],,[    0.55302    -0.22379   -0.012263],[    0.66441    0.010688   -0.041537],[    0.54411    0.026679  -0.0061433]
10ML_centrifuge_tube,0.8315992951393127,"[754.0, 560.0, 772.0, 577.0]",[    0.37567     0.34459    0.075755],[    0.38712     0.33317    0.073625],[    0.35939     0.32288    0.047806],[     0.3875     0.35585    0.071253],[    0.36181     0.35067    0.058779]
centrifuge_close,0.8246148228645325,"[837.0, 26.0, 1008.0, 186.0]",[   0.088747     -0.4498     0.16686],[  -0.043839     -1.8606    -0.75789],,[    0.19901    -0.44039   -0.024879],[   0.059549     -0.1107     0.33546]
refrigerator_close,0.7779471278190613,"[646.0, 0.0, 793.0, 168.0]",[    0.43584    -0.47824     0.17681],,[    0.42768     0.13196     0.79189],[    0.55936    -0.45229  -0.0050225],[    0.28377    -0.46191  -0.0030973]
10ML_centrifuge_tube,0.7166078686714172,"[846.0, 484.0, 864.0, 501.0]",[     0.2743     0.28812     0.20504],[    0.28309     0.27457     0.19831],[    0.26205     0.27674      0.2049],[    0.28471     0.29719     0.19717],[    0.26273     0.29723     0.19918]
5ML_sorting_tube_rack,0.5514225363731384,"[249.0, 406.0, 384.0, 558.0]",[    0.99849     0.24306    0.075311],[     1.5944    -0.37126     -0.8457],[     0.9582    0.067123   -0.018194],,[    0.91109      0.3169   -0.018104]
blood_tube,0.4281449019908905,"[832.0, 528.0, 849.0, 547.0]",[    0.30039     0.35308     0.21791],[      0.304     0.33207     0.19336],[    0.28438     0.33364     0.19916],[    0.30619     0.35735     0.19528],[    0.28816     0.36101     0.20688]
blood_tube,0.3814578056335449,"[736.0, 518.0, 751.0, 535.0]",[    0.40291     0.29309    0.093001],[    0.41078     0.27614    0.078947],[    0.38979     0.27387    0.075337],[    0.41111     0.30036    0.077971],[     0.3914     0.30188    0.083802]
10ML_sorting_tube_rack,0.3054525554180145,"[302.0, 247.0, 402.0, 407.0]",[    0.99776   -0.012286    0.086247],[     1.5509    -0.85904    -0.78569],[    0.98705    -0.25616   -0.018617],[     1.0461     0.12474    0.075649],[    0.93119    0.064602   -0.024095]
dispensing_tube_rack,0.2748870849609375,"[702.0, 499.0, 829.0, 618.0]",[     0.3722     0.32968    0.073228],[    0.45183     0.20719   -0.018876],[    0.30463     0.29296     0.19186],[    0.45177      0.3887   -0.011996],[    0.27657     0.38462  -0.0037916]
10ML_centrifuge_tube,0.2701141834259033,"[583.0, 266.0, 599.0, 282.0]",[    0.63761    -0.13516    0.078664],[     0.6578    -0.19497    0.021996],[    0.63106    -0.20025    0.016637],[    0.65008    -0.12377    0.071731],[    0.62352    -0.11804    0.080733]
5ML_sorting_tube_rack,0.8785150647163391,"[572.0, 267.0, 646.0, 390.0]",[    0.60286   -0.033756    0.074936],,[    0.55136    -0.22694   -0.016215],[    0.66436    0.012079   -0.042407],[    0.54243    0.028984  -0.0052498]
centrifuge_close,0.8203457593917847,"[839.0, 25.0, 1008.0, 186.0]",[   0.085125    -0.45677      0.1629],[   -0.14101     -2.2763     -1.0715],,[    0.19486    -0.44192   -0.026341],[   0.057659    -0.11423     0.33174]
10ML_centrifuge_tube,0.8141815066337585,"[754.0, 560.0, 772.0, 577.0]",[    0.37518     0.34322    0.071886],[    0.38724     0.33352    0.074588],[    0.35978     0.32393    0.050693],[    0.38761     0.35618    0.072226],[    0.36154        0.35    0.056834]
refrigerator_close,0.7608953714370728,"[646.0, 0.0, 793.0, 168.0]",[    0.43806    -0.44739     0.20355],,[    0.42822     0.13545     0.79444],[    0.55942    -0.45442  -0.0072281],[    0.28094    -0.47623   -0.017779]
10ML_centrifuge_tube,0.7136877775192261,"[846.0, 484.0, 865.0, 501.0]",[    0.27453     0.28854     0.20597],[    0.28394     0.27626     0.20199],[     0.2601     0.27543     0.20215],[    0.28492      0.2976      0.1981],[    0.26126     0.29677     0.19827]
5ML_sorting_tube_rack,0.6024670600891113,"[249.0, 407.0, 385.0, 575.0]",[    0.99482     0.25569    0.073262],[     1.5822    -0.35628     -0.8234],[    0.95655    0.068415   -0.019026],,[    0.90504     0.34184   -0.018447]
10ML_sorting_tube_rack,0.4558833837509155,"[303.0, 248.0, 403.0, 410.0]",[    0.99679   -0.010827    0.082962],[      1.583    -0.91213      -0.857],[    0.98379    -0.25159   -0.015629],[     1.0476     0.12465     0.06629],[    0.92777    0.071461   -0.021356]
blood_tube,0.4491243362426758,"[831.0, 528.0, 849.0, 547.0]",[    0.30039     0.35308     0.21791],[    0.30483     0.33135     0.19146],[    0.28438     0.33364     0.19916],[    0.30681      0.3563     0.19241],[    0.28707     0.35919     0.20211]
blood_tube,0.4113161265850067,"[736.0, 518.0, 751.0, 535.0]",[    0.40291     0.29309    0.093001],[    0.41096     0.27691    0.080823],[    0.38957     0.27309    0.073461],[    0.41129      0.3011    0.079867],[    0.39162     0.30263    0.085698]
10ML_centrifuge_tube,0.29236263036727905,"[583.0, 266.0, 599.0, 282.0]",[    0.63738    -0.13333    0.081056],[     0.6572    -0.19066    0.027545],[    0.62949    -0.18605    0.034868],[    0.64949    -0.11956    0.077345],[    0.62339    -0.11684    0.082336]
5ML_sorting_tube_rack,0.8976918458938599,"[572.0, 267.0, 645.0, 389.0]",[    0.60408   -0.030343    0.079897],,[    0.55299    -0.22255   -0.010677],[    0.66441    0.010688   -0.041537],[    0.54408    0.027688  -0.0044154]
10ML_centrifuge_tube,0.847827672958374,"[754.0, 560.0, 772.0, 577.0]",[    0.37555     0.34425    0.074787],[    0.38724     0.33352    0.074588],[    0.35939     0.32288    0.047806],[    0.38784     0.35685    0.074171],[    0.36154        0.35    0.056834]
centrifuge_close,0.8313758969306946,"[839.0, 25.0, 1008.0, 185.0]",[   0.085125    -0.45677      0.1629],[  -0.072147     -1.9624     -0.8315],,[    0.19647     -0.4379   -0.019393],[   0.059594    -0.11184     0.33618]
refrigerator_close,0.7748766541481018,"[646.0, 0.0, 793.0, 168.0]",[    0.43646    -0.46954     0.18435],,[    0.42741     0.13022     0.79062],[    0.55964    -0.46223   -0.015316],[    0.28377    -0.46191  -0.0030973]
10ML_centrifuge_tube,0.7475142478942871,"[846.0, 484.0, 864.0, 501.0]",[    0.27408     0.28771     0.20412],[    0.28309     0.27457     0.19831],[    0.26205     0.27674      0.2049],[    0.28492      0.2976      0.1981],[    0.26296     0.29764     0.20011]
5ML_sorting_tube_rack,0.6849336624145508,"[248.0, 406.0, 385.0, 561.0]",[     0.9977     0.24506     0.07641],[     1.5921    -0.36596    -0.83607],[    0.95839    0.064196   -0.023438],,[    0.91155     0.31818   -0.027154]
blood_tube,0.47745922207832336,"[832.0, 529.0, 849.0, 547.0]",[    0.30056     0.35447     0.21823],[    0.30435     0.33388     0.19459],[    0.28456     0.33506     0.19946],[    0.30678     0.35845     0.19815],[    0.28686     0.35882     0.20115]
10ML_sorting_tube_rack,0.4461694657802582,"[302.0, 248.0, 402.0, 410.0]",[    0.99698  -0.0085772    0.086277],[     1.5508    -0.85662    -0.78721],[    0.98471    -0.24965   -0.013291],[     1.0522     0.12093    0.059249],[    0.92657    0.076271   -0.012586]
blood_tube,0.37182334065437317,"[736.0, 518.0, 751.0, 535.0]",[    0.40291     0.29309    0.093001],[    0.41096     0.27691    0.080823],[    0.38979     0.27387    0.075337],[    0.41129      0.3011    0.079867],[     0.3914     0.30188    0.083802]
10ML_centrifuge_tube,0.3306206166744232,"[583.0, 266.0, 599.0, 282.0]",[    0.63776    -0.13638    0.077069],[    0.65754    -0.19313    0.024374],[    0.62976    -0.18852    0.031698],[    0.64966    -0.12076    0.075741],[    0.62366    -0.11925    0.079129]
dispensing_tube_rack,0.26081645488739014,"[702.0, 499.0, 860.0, 619.0]",[    0.33925     0.30196  -0.0042839],[    0.45183     0.20719   -0.018876],[    0.26847     0.29652     0.20325],[    0.45161      0.3893   -0.014728],[    0.23759     0.38937     0.01271]
blood_tube,0.2500614523887634,"[750.0, 299.0, 764.0, 316.0]",[    0.37175   -0.078895    0.080842],[    0.38142   -0.099852    0.072852],[    0.36069   -0.092334    0.084357],[    0.38051   -0.076866    0.058478],[    0.36049   -0.066108    0.075044]
centrifuge_close,0.8411960601806641,"[839.0, 25.0, 1009.0, 185.0]",[     0.0902    -0.43812     0.17963],[  -0.077745     -1.9879    -0.85101],,[    0.19647     -0.4379   -0.019393],[   0.060896    -0.10693     0.34138]
5ML_sorting_tube_rack,0.8363317251205444,"[572.0, 267.0, 646.0, 387.0]",[     0.6028   -0.033955    0.077418],,[    0.55133     -0.2257    -0.01463],[    0.66517   0.0043813    -0.04584],[    0.54259    0.024928  -0.0027132]
10ML_centrifuge_tube,0.8338946104049683,"[754.0, 560.0, 772.0, 577.0]",[    0.37641     0.34664    0.081558],[    0.38724     0.33352    0.074588],[    0.35992     0.32428    0.051656],[    0.38784     0.35685    0.074171],[    0.36194       0.351    0.059752]
refrigerator_close,0.7662962079048157,"[646.0, 0.0, 793.0, 168.0]",[     0.4351    -0.48853     0.16789],,[    0.42727     0.12935     0.78998],[    0.55942    -0.45442  -0.0072281],[    0.28334    -0.46406  -0.0052995]
10ML_centrifuge_tube,0.747832715511322,"[846.0, 484.0, 864.0, 501.0]",[    0.27408     0.28771     0.20412],[    0.28372     0.27584     0.20107],[    0.26205     0.27674      0.2049],[    0.28492      0.2976      0.1981],[     0.2625     0.29682     0.19826]
