Class,Confidence,Bounding Box,Center Simulation XYZ,Corner 1 Simulation XYZ,Corner 2 Simulation XYZ,Corner 3 Simulation XYZ,Corner 4 Simulation XYZ
5ML_sorting_tube_rack,0.8930827975273132,"[332.0, 0.0, 554.0, 175.0]",[    0.93884    -0.54831    0.090075],,[    0.92859      -1.976    -0.77277],[     1.5477     -1.1793    -0.82974],[    0.73212    -0.43934   -0.017626]
5ML_sorting_tube_rack,0.8473080992698669,"[249.0, 407.0, 385.0, 577.0]",[    0.99366     0.25806    0.075302],[     1.5844    -0.35864    -0.82778],[    0.95655    0.068415   -0.019026],,[     0.9029      0.3465   -0.013136]
5ML_sorting_tube_rack,0.7949879765510559,"[301.0, 248.0, 403.0, 407.0]",[    0.99708   -0.011185    0.087907],[     1.6004    -0.92997    -0.87979],[    0.98521    -0.25472   -0.019548],[     1.0492     0.12289    0.072131],[    0.93015    0.063589   -0.025836]
5ML_sorting_tube_rack,0.7112727165222168,"[704.0, 495.0, 810.0, 616.0]",[    0.38332     0.32734    0.077211],[    0.44869     0.19955    -0.02122],[    0.31504     0.25699     0.12133],[    0.44849      0.3833   -0.020459],[    0.30523     0.38709    0.010424]
10ML_centrifuge_tube,0.6795638203620911,"[754.0, 560.0, 772.0, 577.0]",[    0.37604     0.34562    0.078656],[    0.38724     0.33352    0.074588],[    0.35992     0.32428    0.051656],[    0.38818     0.35785    0.077089],[    0.36221     0.35167    0.061697]
dispensing_tube_rack,0.6598526835441589,"[677.0, 0.0, 1280.0, 716.0]",[   0.068112    0.050217     0.15369],[    0.51949     0.14471     0.79826],[   0.040021     0.11409     0.79141],[     0.4841     0.51792   -0.019133],[   -0.80896     0.32985    -0.76395]
5ML_sorting_tube_rack,0.420427143573761,"[643.0, 3.0, 794.0, 168.0]",[    0.43705    -0.48305     0.17039],,[    0.42612      0.1296     0.78745],[    0.56517    -0.45777   -0.010944],[    0.27862    -0.47844   -0.019968]
10ML_centrifuge_tube,0.3921438157558441,"[845.0, 484.0, 864.0, 502.0]",[    0.27573     0.28964      0.2053],[    0.28477     0.27546     0.20014],[    0.26205     0.27674      0.2049],[    0.28612      0.2987     0.19743],[    0.26292     0.29869     0.19945]
5ML_sorting_tube_rack,0.3494596779346466,"[798.0, 457.0, 888.0, 618.0]",[    0.29702     0.35333     0.21889],[    0.30403     0.13256   -0.016895],[    0.16679     0.13042   -0.010515],[    0.31976     0.38672  -0.0020988],[    0.19473     0.38148  -0.0042171]
5ML_centrifuge_tube,0.30104970932006836,"[865.0, 25.0, 1007.0, 121.0]",[   0.053164    -0.53564     0.16572],,,[     0.1655    -0.49331    0.089054],[   0.098295    -0.11452     0.44691]
5ML_sorting_tube_rack,0.9493412375450134,"[572.0, 267.0, 646.0, 391.0]",[     0.6027   -0.031318    0.075769],,[    0.55133     -0.2257    -0.01463],[    0.66216    0.024963   -0.023367],[    0.54233    0.032346   -0.002635]
5ML_sorting_tube_rack,0.8813516497612,"[249.0, 407.0, 385.0, 579.0]",[    0.99361     0.25924    0.074563],[     1.5795    -0.35344    -0.81813],[    0.95655    0.068415   -0.019026],,[    0.90397     0.34764    -0.01855]
5ML_sorting_tube_rack,0.8562166690826416,"[332.0, 0.0, 554.0, 174.0]",[    0.94352    -0.56309    0.076973],,[     0.9072      -1.831    -0.66557],[     1.5394      -1.166    -0.81107],[    0.73146    -0.43673   -0.012192]
5ML_sorting_tube_rack,0.809904932975769,"[301.0, 249.0, 403.0, 407.0]",[    0.99771   -0.010981    0.085431],[     1.5381    -0.82986    -0.75812],[    0.98288    -0.24821   -0.014217],[     1.0484     0.12384    0.073885],[    0.92681    0.069329   -0.015321]
10ML_centrifuge_tube,0.7404698729515076,"[754.0, 560.0, 772.0, 577.0]",[    0.37567     0.34459    0.075755],[    0.38724     0.33352    0.074588],[    0.35992     0.32428    0.051656],[    0.38784     0.35685    0.074171],[    0.36194       0.351    0.059752]
dispensing_tube_rack,0.6624656915664673,"[676.0, 0.0, 1280.0, 715.0]",[   0.072025    0.055022     0.16372],[     0.5203     0.14908     0.80144],[   0.039352      0.1132     0.79078],[    0.48543     0.51664   -0.019494],[   -0.80889     0.32807    -0.76283]
5ML_sorting_tube_rack,0.623868465423584,"[703.0, 496.0, 814.0, 616.0]",[     0.3817     0.32772    0.074588],[    0.45026     0.20169   -0.020179],[    0.31228     0.26411     0.13453],[    0.45048      0.3863   -0.010512],[    0.29994      0.3872    0.011457]
10ML_centrifuge_tube,0.44020766019821167,"[845.0, 484.0, 864.0, 502.0]",[    0.27529     0.28881     0.20345],[    0.28519      0.2763     0.20198],[    0.26182     0.27632     0.20398],[    0.28612      0.2987     0.19743],[    0.26292     0.29869     0.19945]
5ML_sorting_tube_rack,0.31221139430999756,"[647.0, 3.0, 793.0, 168.0]",[    0.43633    -0.44602     0.20267],,[    0.42746     0.13311     0.78999],[     0.5576    -0.45662  -0.0094206],[    0.28334    -0.46406  -0.0052995]
5ML_sorting_tube_rack,0.27724015712738037,"[798.0, 457.0, 889.0, 618.0]",[    0.29597     0.35146     0.21414],[    0.30246     0.12809   -0.025918],[    0.16217     0.12496   -0.021324],[    0.31976     0.38672  -0.0020988],[    0.19071     0.37842   -0.014161]
refrigerator_close,0.2642974257469177,"[646.0, 2.0, 793.0, 168.0]",[    0.43789    -0.44755     0.20129],,[    0.42749     0.13244     0.79041],[    0.55948    -0.45655  -0.0094338],[    0.28334    -0.46406  -0.0052995]
5ML_sorting_tube_rack,0.9443286061286926,"[573.0, 267.0, 646.0, 391.0]",[    0.60237   -0.027965    0.080744],,[    0.55133     -0.2257    -0.01463],[    0.66248    0.014412   -0.041534],[    0.54233    0.032346   -0.002635]
5ML_sorting_tube_rack,0.8811435103416443,"[249.0, 406.0, 384.0, 579.0]",[    0.99617     0.25692    0.072513],[     1.5675    -0.34286    -0.79308],[     0.9582    0.067123   -0.018194],,[     0.9054     0.34769    -0.01856]
5ML_sorting_tube_rack,0.8362005949020386,"[332.0, 0.0, 554.0, 175.0]",[    0.94278    -0.56076    0.079042],,[    0.96106     -2.1961    -0.93548],[     1.5368     -1.1586    -0.80749],[     0.7314    -0.43514   -0.013186]
5ML_sorting_tube_rack,0.7966005802154541,"[301.0, 248.0, 403.0, 407.0]",[    0.99776   -0.012286    0.086247],[     1.5307    -0.82042    -0.74173],[    0.98464    -0.25347    -0.01798],[     1.0484     0.12384    0.073885],[    0.92737    0.068372   -0.017073]
10ML_centrifuge_tube,0.731590211391449,"[754.0, 560.0, 772.0, 577.0]",[    0.37555     0.34425    0.074787],[    0.38757     0.33457    0.077476],[    0.35978     0.32393    0.050693],[    0.38818     0.35785    0.077089],[    0.36234     0.35201    0.062669]
dispensing_tube_rack,0.615659773349762,"[682.0, 0.0, 1280.0, 715.0]",[   0.064231    0.049404     0.15532],[    0.51548     0.13677     0.79255],[   0.038684     0.11231     0.79015],[    0.47749     0.51637   -0.019439],[   -0.79638     0.33212    -0.74395]
5ML_sorting_tube_rack,0.5745292901992798,"[704.0, 496.0, 813.0, 616.0]",[    0.38228     0.32949     0.07939],[    0.44909     0.20408   -0.014613],[    0.31325     0.26333     0.13267],[    0.44849      0.3833   -0.020459],[     0.3013     0.38724    0.011448]
10ML_centrifuge_tube,0.5175337195396423,"[845.0, 484.0, 864.0, 502.0]",[    0.27529     0.28881     0.20345],[    0.28561     0.27715     0.20381],[    0.26205     0.27674      0.2049],[    0.28612      0.2987     0.19743],[    0.26339      0.2995     0.20131]
refrigerator_close,0.35287410020828247,"[647.0, 3.0, 793.0, 168.0]",[    0.43278    -0.49423     0.16081],,[    0.42746     0.13311     0.78999],[    0.55754    -0.45449   -0.007215],[    0.28334    -0.46406  -0.0052995]
5ML_sorting_tube_rack,0.9526201486587524,"[573.0, 267.0, 646.0, 391.0]",[    0.60237   -0.027965    0.080744],,[    0.55128    -0.22385   -0.012251],[    0.66266    0.013413   -0.043265],[    0.54231    0.033351 -0.00090491]
5ML_sorting_tube_rack,0.8796643614768982,"[249.0, 407.0, 385.0, 577.0]",[    0.99366     0.25806    0.075302],[     1.5871    -0.36147    -0.83305],[    0.95655    0.068415   -0.019026],,[    0.90436      0.3449   -0.018012]
5ML_sorting_tube_rack,0.7875126004219055,"[301.0, 249.0, 403.0, 407.0]",[    0.99703   -0.009881    0.087092],[     1.5381    -0.82986    -0.75812],[    0.98458    -0.25196   -0.018923],[     1.0535     0.11767    0.062483],[    0.92793    0.067416   -0.018826]
5ML_sorting_tube_rack,0.7727009057998657,"[332.0, 0.0, 554.0, 174.0]",[    0.94081    -0.55453    0.084559],,[    0.96258     -2.2065    -0.94314],[     1.5737     -1.2311    -0.88073],[    0.73182    -0.43883    -0.01441]
10ML_centrifuge_tube,0.7532380223274231,"[754.0, 560.0, 772.0, 577.0]",[    0.37567     0.34459    0.075755],[    0.38746     0.33422    0.076513],[    0.35978     0.32393    0.050693],[    0.38795     0.35718    0.075144],[    0.36221     0.35167    0.061697]
dispensing_tube_rack,0.641852617263794,"[682.0, 0.0, 1280.0, 715.0]",[   0.064231    0.049404     0.15532],[     0.5155      0.1385     0.79383],[   0.040021     0.11409     0.79141],[    0.47773     0.51758   -0.013118],[   -0.82905     0.32154    -0.79325]
5ML_sorting_tube_rack,0.5456817746162415,"[704.0, 496.0, 812.0, 616.0]",[    0.38205     0.32878    0.077469],[    0.44948     0.20693   -0.008133],[    0.31336      0.2605     0.12619],[    0.44897     0.38566   -0.012494],[    0.30249     0.38699    0.010443]
10ML_centrifuge_tube,0.5448782444000244,"[845.0, 484.0, 864.0, 502.0]",[    0.27573     0.28964      0.2053],[    0.28519      0.2763     0.20198],[    0.26182     0.27632     0.20398],[    0.28591     0.29829      0.1965],[    0.26269     0.29828     0.19853]
refrigerator_close,0.3416425585746765,"[647.0, 3.0, 793.0, 168.0]",[     0.4347    -0.46815     0.18346],,[    0.42719     0.13137     0.78872],[    0.55763    -0.45804   -0.010891],[    0.28264    -0.46764    -0.00897]
5ML_sorting_tube_rack,0.26630333065986633,"[646.0, 1.0, 794.0, 169.0]",[     0.4347    -0.46815     0.18346],,[    0.42659     0.13087      0.7902],[    0.55942    -0.45495   -0.010431],[    0.28098    -0.46468  -0.0084862]
5ML_sorting_tube_rack,0.9537934064865112,"[572.0, 267.0, 646.0, 391.0]",[    0.60259     -0.0302    0.077427],,[    0.55128    -0.22385   -0.012251],[    0.66458    0.011971   -0.045874],[    0.54233    0.032346   -0.002635]
5ML_sorting_tube_rack,0.8723570704460144,"[249.0, 407.0, 385.0, 577.0]",[    0.99366     0.25806    0.075302],[     1.5795    -0.35344    -0.81813],[    0.95655    0.068415   -0.019026],,[     0.9064     0.34267    -0.02484]
10ML_centrifuge_tube,0.7649034261703491,"[754.0, 560.0, 772.0, 577.0]",[    0.37518     0.34322    0.071886],[    0.38724     0.33352    0.074588],[    0.35992     0.32428    0.051656],[    0.38795     0.35718    0.075144],[    0.36181     0.35067    0.058779]
5ML_sorting_tube_rack,0.7392985820770264,"[332.0, 0.0, 554.0, 174.0]",[    0.94081    -0.55453    0.084559],,[    0.95965     -2.1866    -0.92846],[     1.5507     -1.1875    -0.83404],[    0.73182    -0.43883    -0.01441]
5ML_sorting_tube_rack,0.7204222083091736,"[302.0, 248.0, 402.0, 407.0]",[    0.99776   -0.012286    0.086247],[     1.5749    -0.89459    -0.83506],[    0.98699    -0.25466    -0.01956],[     1.0512     0.11857    0.064247],[    0.93008    0.066515    -0.02059]
dispensing_tube_rack,0.6318197250366211,"[682.0, 0.0, 1280.0, 714.0]",[    0.06494    0.050498       0.157],[    0.51556     0.14197     0.79637],[   0.040021     0.11409     0.79141],[    0.47754     0.51524   -0.018737],[   -0.82341     0.32153    -0.78373]
10ML_centrifuge_tube,0.5913777947425842,"[845.0, 484.0, 864.0, 502.0]",[    0.27507     0.28839     0.20253],[    0.28435     0.27461     0.19831],[    0.26228     0.27717     0.20581],[    0.28591     0.29829      0.1965],[    0.26292     0.29869     0.19945]
5ML_sorting_tube_rack,0.5204005837440491,"[703.0, 496.0, 814.0, 616.0]",[     0.3817     0.32772    0.074588],[    0.45004     0.20006   -0.023882],[    0.31228     0.26411     0.13453],[    0.45024     0.38512   -0.014495],[    0.29975      0.3869    0.010462]
refrigerator_close,0.48538240790367126,"[646.0, 2.0, 793.0, 167.0]",[    0.43595    -0.47666     0.17818],,[    0.42749     0.13244     0.79041],[    0.55954    -0.45815  -0.0084363],[      0.281    -0.47784   -0.016774]
blood_tube,0.2782656252384186,"[832.0, 528.0, 849.0, 547.0]",[     0.3006     0.35346     0.21886],[    0.30439     0.33284     0.19524],[    0.28438     0.33364     0.19916],[    0.30698     0.35881      0.1991],[    0.28837     0.36138     0.20783]
5ML_sorting_tube_rack,0.9495642185211182,"[573.0, 267.0, 646.0, 391.0]",[    0.60259     -0.0302    0.077427],,[    0.55136    -0.22694   -0.016215],[    0.66294    0.011914   -0.045862],[    0.54231    0.033351 -0.00090491]
5ML_sorting_tube_rack,0.8759119510650635,"[249.0, 407.0, 384.0, 567.0]",[    0.99603      0.2514    0.077137],[     1.5652    -0.33832    -0.79005],[    0.95814    0.068471   -0.019037],,[    0.91066     0.32792   -0.024996]
10ML_centrifuge_tube,0.7614297270774841,"[754.0, 560.0, 772.0, 577.0]",[    0.37555     0.34425    0.074787],[    0.38724     0.33352    0.074588],[    0.35978     0.32393    0.050693],[    0.38784     0.35685    0.074171],[    0.36194       0.351    0.059752]
5ML_sorting_tube_rack,0.6834279298782349,"[303.0, 247.0, 402.0, 407.0]",[    0.99708   -0.011185    0.087907],[     1.5804    -0.91026    -0.84995],[    0.98705    -0.25616   -0.018617],[     1.0447     0.12469    0.075659],[    0.93008    0.066515    -0.02059]
10ML_centrifuge_tube,0.6554413437843323,"[845.0, 484.0, 864.0, 501.0]",[    0.27511     0.28733     0.20319],[    0.28498     0.27588     0.20106],[    0.26205     0.27674      0.2049],[    0.28553     0.29642     0.19531],[    0.26296     0.29764     0.20011]
dispensing_tube_rack,0.6271154880523682,"[686.0, 0.0, 1280.0, 714.0]",[   0.061377    0.049304     0.15534],[    0.51236     0.13839     0.79385],[   0.040021     0.11409     0.79141],[    0.47238     0.51567   -0.015542],[   -0.79839     0.32967    -0.74599]
5ML_sorting_tube_rack,0.5872509479522705,"[332.0, 0.0, 554.0, 174.0]",[     0.9381    -0.54598    0.092144],,[    0.95813     -2.1763     -0.9208],[      1.562     -1.2089    -0.85702],[    0.73219    -0.44093   -0.016628]
refrigerator_close,0.5144813060760498,"[643.0, 2.0, 793.0, 168.0]",[    0.44057    -0.43326     0.21363],[    0.54724     0.10805     0.76851],[    0.42735     0.13157     0.78978],[    0.56517    -0.45777   -0.010944],[    0.28221    -0.46979   -0.011172]
5ML_sorting_tube_rack,0.45609933137893677,"[704.0, 497.0, 817.0, 616.0]",[    0.37925     0.32834    0.076528],[    0.44859      0.2021    -0.02282],[    0.31096     0.27125     0.14774],[    0.44849      0.3833   -0.020459],[    0.29473     0.38526   0.0055171]
blood_tube,0.3559279143810272,"[832.0, 528.0, 849.0, 547.0]",[    0.30039     0.35308     0.21791],[    0.30419     0.33245      0.1943],[    0.28503     0.33479     0.20199],[    0.30698     0.35881      0.1991],[    0.28816     0.36101     0.20688]
centrifuge_close,0.31551453471183777,"[837.0, 26.0, 1007.0, 186.0]",[   0.092116    -0.44046     0.17523],,,[    0.19958    -0.43828   -0.022646],[   0.058639    -0.11489     0.33099]
5ML_sorting_tube_rack,0.952598512172699,"[573.0, 267.0, 646.0, 391.0]",[    0.60259     -0.0302    0.077427],,[    0.55124    -0.22261   -0.010665],[    0.66192    0.017411    -0.03634],[    0.54233    0.032346   -0.002635]
5ML_sorting_tube_rack,0.8732010126113892,"[249.0, 407.0, 385.0, 577.0]",[     0.9944     0.25727    0.073449],[      1.597    -0.37186    -0.85235],[    0.95715     0.06746   -0.020779],,[    0.90348     0.34586   -0.015086]
10ML_centrifuge_tube,0.8033245205879211,"[754.0, 560.0, 772.0, 577.0]",[     0.3753     0.34356    0.072853],[    0.38724     0.33352    0.074588],[    0.35978     0.32393    0.050693],[     0.3875     0.35585    0.071253],[    0.36154        0.35    0.056834]
5ML_sorting_tube_rack,0.6745954751968384,"[303.0, 248.0, 403.0, 407.0]",[    0.99622    -0.01234    0.086258],[     1.5429    -0.84863    -0.77699],[     0.9801    -0.24344  -0.0054417],[     1.0509     0.11709    0.061627],[    0.93015    0.063589   -0.025836]
10ML_centrifuge_tube,0.6602782607078552,"[845.0, 484.0, 864.0, 502.0]",[    0.27551     0.28922     0.20438],[    0.28477     0.27546     0.20014],[    0.26205     0.27674      0.2049],[    0.28591     0.29829      0.1965],[    0.26269     0.29828     0.19853]
refrigerator_close,0.5877310037612915,"[646.0, 2.0, 793.0, 167.0]",[    0.43806    -0.44739     0.20355],,[    0.42722     0.13069     0.78914],[    0.55958    -0.45957  -0.0099055],[     0.2827    -0.46924  -0.0079713]
5ML_sorting_tube_rack,0.5216617584228516,"[332.0, 0.0, 554.0, 175.0]",[     0.9381    -0.54598    0.092144],,[    0.95533     -2.1573    -0.90677],[     1.5393     -1.1634    -0.81269],[    0.73273    -0.44284   -0.021326]
centrifuge_close,0.4158303141593933,"[837.0, 26.0, 1007.0, 185.0]",[   0.086839    -0.45671     0.16289],[  -0.096407     -2.1028    -0.94344],,[    0.20136    -0.43356   -0.014958],[   0.060192    -0.11321     0.33468]
5ML_sorting_tube_rack,0.3667953312397003,"[704.0, 498.0, 821.0, 616.0]",[    0.37688     0.33044    0.078717],[    0.44843     0.20257   -0.025474],[    0.30992     0.28159     0.16838],[    0.44849      0.3833   -0.020459],[    0.28961     0.38566    0.007545]
dispensing_tube_rack,0.3260851204395294,"[693.0, 0.0, 1280.0, 714.0]",[   0.056737    0.048608     0.15453],[    0.50678     0.13559     0.79198],[   0.038684     0.11231     0.79015],[    0.46303     0.51494   -0.017583],[   -0.78866     0.33283    -0.73131]
blood_tube,0.29437360167503357,"[832.0, 528.0, 849.0, 547.0]",[    0.29998     0.35233     0.21601],[    0.30439     0.33284     0.19524],[     0.2846     0.33402     0.20011],[    0.30678     0.35845     0.19815],[    0.28816     0.36101     0.20688]
blood_tube,0.2812846899032593,"[736.0, 519.0, 750.0, 536.0]",[    0.40306     0.29499    0.094174],[    0.41147      0.2804    0.085731],[    0.39208     0.27857    0.083048],[    0.41134     0.30262    0.080098],[    0.39303     0.30419    0.085922]
5ML_sorting_tube_rack,0.942871630191803,"[573.0, 267.0, 646.0, 390.0]",[    0.60264   -0.031517    0.078251],,[    0.55128    -0.22385   -0.012251],[    0.66253    0.013023   -0.040665],[    0.54238    0.030998  -0.0017918]
5ML_sorting_tube_rack,0.8668174147605896,"[249.0, 407.0, 385.0, 560.0]",[    0.99593     0.24541    0.077341],[     1.5795    -0.35344    -0.81813],[    0.95774    0.066505   -0.022531],,[     0.9116     0.31695   -0.026384]
10ML_centrifuge_tube,0.7837250828742981,"[754.0, 560.0, 772.0, 577.0]",[    0.37506     0.34288    0.070918],[    0.38712     0.33317    0.073625],[    0.35978     0.32393    0.050693],[    0.38761     0.35618    0.072226],[    0.36194       0.351    0.059752]
10ML_centrifuge_tube,0.6818883419036865,"[845.0, 484.0, 864.0, 502.0]",[    0.27507     0.28839     0.20253],[    0.28498     0.27588     0.20106],[    0.26205     0.27674      0.2049],[    0.28612      0.2987     0.19743],[    0.26292     0.29869     0.19945]
5ML_sorting_tube_rack,0.6107781529426575,"[302.0, 248.0, 402.0, 407.0]",[    0.99708   -0.011185    0.087907],[      1.556    -0.86471     -0.7974],[    0.98642     -0.2534   -0.017993],[     1.0461     0.12474    0.075649],[    0.92952    0.067471   -0.018837]
refrigerator_close,0.6053204536437988,"[647.0, 3.0, 793.0, 168.0]",[     0.4336    -0.48317     0.17042],,[    0.42733     0.13224     0.78936],[     0.5576    -0.45662  -0.0094206],[    0.28292    -0.46621  -0.0075018]
centrifuge_close,0.38379576802253723,"[837.0, 26.0, 1007.0, 186.0]",[   0.090151    -0.44591     0.17035],[  -0.054353     -1.9091      -0.795],,[    0.19749    -0.44599   -0.030833],[   0.058639    -0.11489     0.33099]
