Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
5ML_sorting_tube_rack,"tensor(0.77064, device='cuda:0')","[332, 0, 551, 174]","[941.7909274005248, -545.8486941091467, 92.11842266013815]","[None, None, None]","[None, None, None]","[None, None, None]","[212981.88580108204, -1197874.9258642874, -1263199.0134185008]"
5ML_sorting_tube_rack,"tensor(0.76602, device='cuda:0')","[701, 495, 807, 617]","[386.4000395168169, 325.794311758458, 68.78859148129268]","[-69375.39341405894, -544856.942077325, -1236692.9881217263]","[-210973.93547015046, -515700.3680150831, -1157955.1321594112]","[-69959.87331834628, -364900.4555300602, -1237104.3551180516]","[-213455.60559227853, -367865.4741377237, -1229125.6992898956]"
5ML_sorting_tube_rack,"tensor(0.75241, device='cuda:0')","[573, 269, 645, 391]","[602.7581595969413, -31.115283641113713, 73.28485294038268]","[148139.36276400567, -936413.565975794, -1212892.34018874]","[28573.68000363969, -984991.408294227, -1269219.64175497]","[132288.34613330572, -713844.3942706534, -1236614.6747758118]","[19680.214973781225, -735882.840415709, -1266967.7551511351]"
5ML_sorting_tube_rack,"tensor(0.71137, device='cuda:0')","[643, 1, 791, 168]","[439.76703988251995, -471.003328619778, 182.95593484025275]","[None, None, None]","[-95377.74421953742, -627420.3477790692, -457926.53648714407]","[41186.02543028984, -1231924.846584959, -1275133.694913004]","[-239740.9834087427, -1235337.002866659, -1266555.517119125]"
5ML_sorting_tube_rack,"tensor(0.69727, device='cuda:0')","[801, 461, 890, 620]","[294.29966474960855, 355.9135041416455, 216.05317441936467]","[-224952.4887442837, -620721.2523693484, -1267073.5626641165]","[-361476.81616652454, -624614.1381294468, -1264307.8670258382]","[-207612.360307936, -367966.3142637442, -1244305.7314313634]","[-333135.113773015, -376111.61003870965, -1256408.2959646909]"
