Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
5ML_sorting_tube_rack,0.2666509747505188,"[332.0, 0.0, 554.0, 173.0]","[-380.0, -514.0, 1698.0]","(0, 0)","[-348.0, -1361.0, 3425.0]","[-972.0, -583.0, 2812.0]","[-175.0, -358.0, 1724.0]"
5ML_sorting_tube_rack,0.8599839210510254,"[572.0, 267.0, 646.0, 390.0]","[-58.0, -53.0, 1418.0]","(0, 0)","[-1.0, -167.0, 1602.0]","[-121.0, 46.0, 1475.0]","[-1.0, 45.0, 1450.0]"
centrifuge_close,0.8509808778762817,"[839.0, 25.0, 1008.0, 185.0]","[475.0, -441.0, 1563.0]","[661.0, -1155.0, 3121.0]","(0, 0)","[363.0, -333.0, 1713.0]","[488.0, -238.0, 1228.0]"
10ML_centrifuge_tube,0.8051576018333435,"[754.0, 560.0, 772.0, 577.0]","[156.0, 275.0, 1215.0]","[144.0, 266.0, 1222.0]","[172.0, 272.0, 1248.0]","[143.0, 286.0, 1208.0]","[169.0, 290.0, 1224.0]"
refrigerator_close,0.7861340045928955,"[647.0, 3.0, 793.0, 168.0]","[126.0, -474.0, 1558.0]","(0, 0)","[116.0, -284.0, 720.0]","[1.0, -365.0, 1715.0]","[277.0, -366.0, 1721.0]"
10ML_centrifuge_tube,0.7291194796562195,"[846.0, 484.0, 864.0, 501.0]","[260.0, 162.0, 1133.0]","[251.0, 154.0, 1144.0]","[273.0, 153.0, 1142.0]","[249.0, 174.0, 1134.0]","[271.0, 173.0, 1133.0]"
blood_tube,0.4411693215370178,"[832.0, 528.0, 849.0, 547.0]","[231.0, 209.0, 1087.0]","[228.0, 205.0, 1120.0]","[248.0, 203.0, 1113.0]","[225.0, 225.0, 1105.0]","[244.0, 223.0, 1095.0]"
10ML_sorting_tube_rack,0.39658722281455994,"[303.0, 248.0, 402.0, 411.0]","[-453.0, -50.0, 1400.0]","[-1022.0, -338.0, 2707.0]","[-434.0, -202.0, 1615.0]","[-508.0, 73.0, 1345.0]","[-390.0, 79.0, 1452.0]"
10ML_sorting_tube_rack,0.3898159861564636,"[253.0, 407.0, 380.0, 576.0]","[-461.0, 180.0, 1270.0]","[-1004.9999999999999, 116.0, 2325.0]","[-423.0, 72.0, 1444.0]","(0, 0)","[-380.0, 306.0, 1299.0]"
blood_tube,0.34242162108421326,"[736.0, 518.0, 751.0, 535.0]","[130.0, 222.0, 1228.0]","[123.0, 214.0, 1246.0]","[144.0, 215.0, 1252.0]","[122.0, 235.0, 1236.0]","[141.0, 234.0, 1230.0]"
