Class,Confidence,Center 3D Coordinates
5ML_centrifuge_tube,0.4250562787055969,"[222.0, 284.0, 925.0]"
10ML_centrifuge_tube,0.4153790771961212,"[-581.0, -99.0, 1334.0]"
tube_rack_storage_cabinet,0.4079524278640747,"[-366.0, 50.0, 626.0]"
10ML_centrifuge_tube,0.4032762944698334,"[96.0, 253.0, 962.0]"
centrifuge_close,0.265809565782547,"[-335.0, -57.0, 573.0]"
refrigerator_close,0.9528113007545471,"[24.0, -453.0, 1612.0]"
centrifuge_close,0.9111865162849426,"[318.0, -217.0, 1260.0]"
dispensing_tube_rack,0.8204563856124878,"[-149.0, 93.0, 1138.0]"
blood_tube,0.8176034092903137,"[231.0, 194.0, 1032.0]"
blood_tube,0.6847033500671387,"[92.0, 120.0, 1132.0]"
10ML_centrifuge_tube,0.6735627055168152,"[-498.0, -190.0, 1400.0]"
10ML_centrifuge_tube,0.5804846286773682,"[-43.0, 57.0, 1050.0]"
10ML_centrifuge_tube,0.4723953604698181,"[-579.0, -99.0, 1326.0]"
5ML_centrifuge_tube,0.4461475908756256,"[222.0, 283.0, 925.0]"
tube_rack_storage_cabinet,0.4052359461784363,"[-378.0, 51.0, 648.0]"
5ML_sorting_tube_rack,0.3784729838371277,"[-462.0, -472.0, 1784.0]"
10ML_centrifuge_tube,0.3417667746543884,"[96.0, 254.0, 961.0]"
dispensing_tube_rack,0.2580147385597229,"[-62.0, 110.0, 1029.0]"
10ML_centrifuge_tube,0.25767019391059875,"[51.0, 274.0, 951.0]"
refrigerator_close,0.9517455101013184,"[24.0, -452.0, 1607.0]"
centrifuge_close,0.9095248579978943,"[319.0, -216.0, 1257.0]"
blood_tube,0.8190294504165649,"[232.0, 196.0, 1039.0]"
dispensing_tube_rack,0.7269606590270996,"[-151.0, 93.0, 1140.0]"
10ML_centrifuge_tube,0.6917574405670166,"[-499.0, -191.0, 1404.0]"
10ML_centrifuge_tube,0.57802414894104,"[-43.0, 57.0, 1050.0]"
blood_tube,0.5619474053382874,"[92.0, 117.0, 1133.0]"
5ML_sorting_tube_rack,0.5539841651916504,"[-459.0, -468.0, 1775.0]"
tube_rack_storage_cabinet,0.552129864692688,"[-0.0, 0.0, 0.0]"
5ML_sorting_tube_rack,0.46119025349617004,"[-326.0, 128.0, 522.0]"
10ML_centrifuge_tube,0.43702462315559387,"[-580.0, -97.0, 1329.0]"
5ML_centrifuge_tube,0.3704644441604614,"[222.0, 285.0, 924.0]"
10ML_centrifuge_tube,0.3668632507324219,"[96.0, 254.0, 962.0]"
dispensing_tube_rack,0.36589378118515015,"[-70.0, 111.0, 1038.0]"
refrigerator_close,0.9548208117485046,"[24.0, -457.0, 1625.0]"
centrifuge_close,0.9108284711837769,"[319.0, -218.0, 1263.0]"
blood_tube,0.8422361612319946,"[233.0, 196.0, 1040.0]"
dispensing_tube_rack,0.7982407212257385,"[-149.0, 93.0, 1137.0]"
10ML_centrifuge_tube,0.677433967590332,"[-502.0, -192.0, 1412.0]"
10ML_centrifuge_tube,0.6249220967292786,"[-43.0, 58.0, 1054.0]"
blood_tube,0.594226598739624,"[91.0, 118.0, 1130.0]"
dispensing_tube_rack,0.4283030033111572,"[-70.0, 110.0, 1038.0]"
10ML_centrifuge_tube,0.4189836084842682,"[96.0, 253.0, 960.0]"
10ML_centrifuge_tube,0.3841264843940735,"[-580.0, -99.0, 1332.0]"
10ML_sorting_tube_rack,0.36438432335853577,"[-222.0, -83.0, 1268.0]"
tube_rack_storage_cabinet,0.3493659198284149,"[-378.0, 50.0, 647.0]"
refrigerator_close,0.9553318023681641,"[24.0, -450.0, 1602.0]"
centrifuge_close,0.9117748737335205,"[318.0, -217.0, 1260.0]"
blood_tube,0.8358951210975647,"[234.0, 195.0, 1043.0]"
10ML_centrifuge_tube,0.6811301112174988,"[-498.0, -190.0, 1400.0]"
dispensing_tube_rack,0.67936110496521,"[-149.0, 93.0, 1138.0]"
10ML_centrifuge_tube,0.6239064335823059,"[-43.0, 58.0, 1050.0]"
blood_tube,0.5641732811927795,"[90.0, 119.0, 1132.0]"
dispensing_tube_rack,0.469982773065567,"[-71.0, 111.0, 1042.0]"
10ML_centrifuge_tube,0.4324369430541992,"[95.0, 255.0, 964.0]"
10ML_centrifuge_tube,0.384037584066391,"[-582.0, -98.0, 1332.0]"
10ML_sorting_tube_rack,0.3504229187965393,"[-223.0, -83.0, 1281.0]"
tube_rack_storage_cabinet,0.32070502638816833,"[-374.0, 50.0, 640.0]"
refrigerator_close,0.9526747465133667,"[23.0, -434.0, 1546.0]"
centrifuge_close,0.9126031398773193,"[316.0, -216.0, 1254.0]"
blood_tube,0.8176451921463013,"[234.0, 197.0, 1044.0]"
dispensing_tube_rack,0.7890475988388062,"[-149.0, 93.0, 1138.0]"
10ML_centrifuge_tube,0.7014088034629822,"[-498.0, -190.0, 1400.0]"
blood_tube,0.6576178669929504,"[91.0, 119.0, 1129.0]"
10ML_centrifuge_tube,0.5981817841529846,"[-43.0, 57.0, 1054.0]"
10ML_centrifuge_tube,0.4807576835155487,"[-580.0, -99.0, 1332.0]"
tube_rack_storage_cabinet,0.43465977907180786,"[-375.0, 52.0, 641.0]"
dispensing_tube_rack,0.41497063636779785,"[-71.0, 110.0, 1042.0]"
10ML_sorting_tube_rack,0.3895540237426758,"[-224.0, -83.0, 1279.0]"
10ML_centrifuge_tube,0.385730504989624,"[95.0, 252.0, 959.0]"
5ML_centrifuge_tube,0.3794938325881958,"[221.0, 283.0, 922.0]"
5ML_sorting_tube_rack,0.3432721793651581,"[-466.0, -477.0, 1803.0]"
refrigerator_close,0.9537190794944763,"[22.0, -406.0, 1444.0]"
centrifuge_close,0.9113065600395203,"[318.0, -217.0, 1260.0]"
blood_tube,0.8410637974739075,"[232.0, 195.0, 1035.0]"
10ML_centrifuge_tube,0.6946060061454773,"[-496.0, -190.0, 1396.0]"
dispensing_tube_rack,0.6771457195281982,"[-149.0, 93.0, 1138.0]"
blood_tube,0.5879793763160706,"[92.0, 119.0, 1132.0]"
10ML_centrifuge_tube,0.5851684808731079,"[-43.0, 58.0, 1057.0]"
dispensing_tube_rack,0.5547948479652405,"[-71.0, 111.0, 1038.0]"
10ML_centrifuge_tube,0.4301225543022156,"[-580.0, -99.0, 1332.0]"
tube_rack_storage_cabinet,0.40998852252960205,"[-378.0, 51.0, 646.0]"
10ML_centrifuge_tube,0.35804128646850586,"[96.0, 254.0, 963.0]"
5ML_sorting_tube_rack,0.3374670445919037,"[-458.0, -466.0, 1763.0]"
5ML_centrifuge_tube,0.28563323616981506,"[222.0, 284.0, 923.0]"
refrigerator_close,0.9546290636062622,"[23.0, -430.0, 1530.0]"
centrifuge_close,0.9108052253723145,"[319.0, -218.0, 1266.0]"
blood_tube,0.8223031759262085,"[233.0, 196.0, 1043.0]"
dispensing_tube_rack,0.769059419631958,"[-149.0, 93.0, 1139.0]"
10ML_centrifuge_tube,0.6681073904037476,"[-500.0, -191.0, 1406.0]"
10ML_centrifuge_tube,0.613074779510498,"[-43.0, 57.0, 1053.0]"
blood_tube,0.5888055562973022,"[92.0, 119.0, 1134.0]"
dispensing_tube_rack,0.5283908247947693,"[-71.0, 111.0, 1036.0]"
10ML_centrifuge_tube,0.43718230724334717,"[95.0, 255.0, 967.0]"
