               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.0484,              6.4631,              5.5555,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0706,           0.0032667,           0.0032667
                   1,               6.959,              6.3114,              5.4795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040535,           0.0065347,           0.0065347
                   2,              6.8427,              5.9813,              5.3336,           0.0018634,            0.058666,           0.0054272,          0.00086921,                   0,                   0,                   0,            0.010403,           0.0097367,           0.0097367
                   3,              6.0659,              5.3325,              4.9934,             0.17326,            0.023459,           0.0053838,           0.0011138,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              4.8038,              4.0367,              4.3803,            0.038132,             0.17447,            0.041929,            0.010237,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
