               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2636,              4.8009,              1.2567,             0.17508,                0.15,             0.14533,             0.10318,              0.8588,              4.7788,              0.9513,              0.0973,              0.0003,              0.0003
                   1,              1.1553,              4.8075,              1.2087,             0.25835,                0.15,             0.16822,            0.092221,             0.82853,              4.3539,             0.93976,            0.093698,          0.00069769,          0.00069769
                   2,              1.1281,              4.1532,              1.2397,             0.47333,               0.375,             0.36903,              0.2847,             0.70449,              2.5284,             0.93782,            0.090093,           0.0010927,           0.0010927
                   3,             0.95479,              2.7191,                1.19,             0.84493,             0.53333,             0.61573,             0.49885,             0.56568,              1.6725,             0.84222,            0.086485,           0.0014851,           0.0014851
                   4,             0.90789,              1.6953,              1.1246,             0.62964,               0.825,             0.73459,             0.59336,             0.54828,              1.0796,             0.86032,            0.082875,           0.0018749,           0.0018749
                   5,             0.74202,               1.495,              1.0448,             0.62787,               0.725,             0.69945,               0.582,             0.53937,               1.126,             0.88486,            0.079262,           0.0022621,           0.0022621
                   6,             0.79453,              1.3614,              1.0665,             0.63711,             0.74583,             0.72376,             0.59956,             0.52725,             0.99583,             0.86956,            0.075647,           0.0026465,           0.0026465
                   7,             0.72067,              1.2033,              1.0541,             0.74161,             0.80168,             0.82005,             0.70498,             0.52373,             0.86819,             0.88383,            0.072028,           0.0030284,           0.0030284
                   8,             0.74338,               1.142,              1.0032,             0.83277,             0.79692,             0.86546,             0.72415,             0.53525,             0.95471,             0.90143,            0.068408,           0.0034076,           0.0034076
                   9,             0.64473,              1.0795,             0.99058,             0.79656,             0.86471,             0.83054,             0.66517,             0.60919,              1.0232,             0.94593,            0.064784,           0.0037842,           0.0037842
                  10,             0.64306,              0.9846,             0.98617,             0.94271,             0.84583,             0.86207,             0.70193,             0.62613,             0.93602,             0.93387,            0.061158,           0.0041581,           0.0041581
                  11,             0.68756,             0.91476,             0.95919,             0.84638,               0.831,             0.87179,             0.68569,              0.6446,              0.7432,             0.92725,            0.057529,           0.0045294,           0.0045294
                  12,             0.64597,             0.85165,             0.98543,             0.86058,             0.75159,             0.84031,             0.71863,             0.65673,              0.7179,             0.91704,            0.053898,            0.004898,            0.004898
                  13,             0.69376,             0.79301,             0.97879,              0.7755,             0.84583,             0.87106,             0.69391,             0.67066,             0.77829,              0.9321,            0.050264,            0.005264,            0.005264
                  14,             0.62328,             0.86666,             0.92482,             0.92047,             0.80417,              0.8777,             0.72817,             0.67797,             0.92191,             0.92828,            0.046627,           0.0056274,           0.0056274
                  15,             0.69154,             0.97035,             0.96977,             0.90156,             0.90833,             0.89151,             0.71448,             0.61443,             0.77721,             0.90315,            0.042988,           0.0059881,           0.0059881
                  16,             0.56726,              0.8726,             0.92482,             0.87164,             0.86317,             0.89633,             0.76169,             0.61685,             0.79486,             0.91528,            0.039346,           0.0063462,           0.0063462
                  17,             0.65755,             0.78976,             0.98811,             0.93132,             0.86667,             0.89239,             0.69644,             0.81334,             0.68497,              0.9815,            0.035702,           0.0067017,           0.0067017
